id,ocid,year,month,method,internal_type,region,locality,buyer,suppliers,amount,budget,date,title,description
1854575,ocds-5wno2w-CE-20220002132035-12070,2022,1,direct,Catálogo electrónico - Compra directa,AZUAY,CUENCA,HOSPITAL VICENTE CORRAL MOSCOSO,LETERAGO DEL ECUADOR S.A,173.550000,173.55,2022-01-28T00:00:00-05:00,Orden de compra CE-20220002132035,Orden de compra para adquirir los siguientes productos:  Insulina humana (acción rápida)
1871865,ocds-5wno2w-CE-20220002143716-2711,2022,2,direct,Catálogo electrónico - Compra directa,PASTAZA,PASTAZA,HOSPITAL GENERAL PUYO,LETERAGO DEL ECUADOR S.A,1254.900000,1254.9,2022-02-15T00:00:00-05:00,Orden de compra CE-20220002143716,Orden de compra para adquirir los siguientes productos:  Insulina humana (acción rápida)
1854999,ocds-5wno2w-CE-20220002135181-81533,2022,2,direct,Catálogo electrónico - Compra directa,BOLIVAR,GUARANDA,HOSPITAL BASICO GUARANDA,LETERAGO DEL ECUADOR S.A,392.490000,392.49,2022-02-03T00:00:00-05:00,Orden de compra CE-20220002135181,Orden de compra para adquirir los siguientes productos:  Insulina humana (acción rápida)
1871866,ocds-5wno2w-CE-20220002143717-2711,2022,2,direct,Catálogo electrónico - Compra directa,PASTAZA,PASTAZA,HOSPITAL GENERAL PUYO,LETERAGO DEL ECUADOR S.A,2002.500000,2002.5,2022-02-15T00:00:00-05:00,Orden de compra CE-20220002143717,Orden de compra para adquirir los siguientes productos:  Insulina humana NPH (acción intermedia)
1866803,ocds-5wno2w-CE-20220002137719-15857,2022,2,direct,Catálogo electrónico - Compra directa,NAPO,TENA,HOSPITAL JOSE MARIA VELASCO IBARRA DE TENA,LETERAGO DEL ECUADOR S.A,400.500000,400.5,2022-02-08T00:00:00-05:00,Orden de compra CE-20220002137719,Orden de compra para adquirir los siguientes productos:  Insulina humana (acción rápida)
1875119,ocds-5wno2w-CE-20220002145964-84548,2022,2,direct,Catálogo electrónico - Compra directa,SANTA ELENA,SANTA ELENA,HOSPITAL BASICO ANCON,LETERAGO DEL ECUADOR S.A,96.120000,96.12,2022-02-18T00:00:00-05:00,Orden de compra CE-20220002145964,Orden de compra para adquirir los siguientes productos:  Insulina humana (acción rápida)
1885346,ocds-5wno2w-CE-20220002155934-2724,2022,3,direct,Catálogo electrónico - Compra directa,IMBABURA,IBARRA,HOSPITAL SAN VICENTE DE PAUL-IBARRA,LETERAGO DEL ECUADOR S.A,400.500000,400.5,2022-03-04T00:00:00-05:00,Orden de compra CE-20220002155934,Orden de compra para adquirir los siguientes productos:  Insulina humana (acción rápida)
1875120,ocds-5wno2w-CE-20220002145965-84548,2022,2,direct,Catálogo electrónico - Compra directa,SANTA ELENA,SANTA ELENA,HOSPITAL BASICO ANCON,LETERAGO DEL ECUADOR S.A,1994.490000,1994.49,2022-02-18T00:00:00-05:00,Orden de compra CE-20220002145965,Orden de compra para adquirir los siguientes productos:  Insulina humana NPH (acción intermedia)
1880011,ocds-5wno2w-CE-20220002151396-440879,2022,2,direct,Catálogo electrónico - Compra directa,CHIMBORAZO,RIOBAMBA,COORDINACION ZONAL 3 - SALUD,LETERAGO DEL ECUADOR S.A,267.000000,267,2022-02-24T00:00:00-05:00,Orden de compra CE-20220002151396,Orden de compra para adquirir los siguientes productos:  Insulina humana (acción rápida)
1866805,ocds-5wno2w-CE-20220002137721-15857,2022,2,direct,Catálogo electrónico - Compra directa,NAPO,TENA,HOSPITAL JOSE MARIA VELASCO IBARRA DE TENA,LETERAGO DEL ECUADOR S.A,2670.000000,2670,2022-02-08T00:00:00-05:00,Orden de compra CE-20220002137721,Orden de compra para adquirir los siguientes productos:  Insulina humana NPH (acción intermedia)
1880011,ocds-5wno2w-CE-20220002151396-440879,2022,2,direct,Catálogo electrónico - Compra directa,CHIMBORAZO,RIOBAMBA,COORDINACION ZONAL 3 - SALUD,LETERAGO DEL ECUADOR S.A,267.000000,267,2022-02-24T00:00:00-05:00,Orden de compra CE-20220002151396,Orden de compra para adquirir los siguientes productos:  Insulina humana (acción rápida)
1854242,ocds-5wno2w-CE-20220002129095-2764,2022,1,direct,Catálogo electrónico - Compra directa,TUNGURAHUA,AMBATO,HOSPITAL GENERAL - AMBATO,LETERAGO DEL ECUADOR S.A,10853.550000,10853.55,2022-01-21T00:00:00-05:00,Orden de compra CE-20220002129095,Orden de compra para adquirir los siguientes productos:  Insulina humana NPH (acción intermedia)
1885486,ocds-5wno2w-CE-20220002156324-57617,2022,3,direct,Catálogo electrónico - Compra directa,GUAYAS,MILAGRO,HOSPITAL GENERAL - MILAGRO,LETERAGO DEL ECUADOR S.A,2683.350000,2683.35,2022-03-04T00:00:00-05:00,Orden de compra CE-20220002156324,Orden de compra para adquirir los siguientes productos:  Insulina humana (acción rápida)
1854311,ocds-5wno2w-CE-20220002129504-84474,2022,1,direct,Catálogo electrónico - Compra directa,MORONA SANTIAGO,MORONA,CENTRO CLINICO QUIRURGICO AMBULATORIO (HOSPITAL DEL DIA) - MACAS,LETERAGO DEL ECUADOR S.A,2531.160000,2531.16,2022-01-24T00:00:00-05:00,Orden de compra CE-20220002129504,Orden de compra para adquirir los siguientes productos:  Insulina humana NPH (acción intermedia)
1854641,ocds-5wno2w-CE-20220002132357-44928,2022,1,direct,Catálogo electrónico - Compra directa,PASTAZA,PASTAZA,DIRECCION DISTRITAL 16D01 - PASTAZA - MERA - SANTA CLARA - SALUD,LETERAGO DEL ECUADOR S.A,400.500000,400.5,2022-01-28T00:00:00-05:00,Orden de compra CE-20220002132357,Orden de compra para adquirir los siguientes productos:  Insulina humana NPH (acción intermedia)
1854112,ocds-5wno2w-CE-20220002128344-72588,2022,1,direct,Catálogo electrónico - Compra directa,TUNGURAHUA,BAÑOS DE AGUA SANTA,CENTRO DE SALUD A - BAÑOS,LETERAGO DEL ECUADOR S.A,955.860000,955.86,2022-01-20T00:00:00-05:00,Orden de compra CE-20220002128344,Orden de compra para adquirir los siguientes productos:  Insulina humana NPH (acción intermedia)
1854114,ocds-5wno2w-CE-20220002128346-72588,2022,1,direct,Catálogo electrónico - Compra directa,TUNGURAHUA,BAÑOS DE AGUA SANTA,CENTRO DE SALUD A - BAÑOS,LETERAGO DEL ECUADOR S.A,48.060000,48.06,2022-01-20T00:00:00-05:00,Orden de compra CE-20220002128346,Orden de compra para adquirir los siguientes productos:  Insulina humana (acción rápida)
1854374,ocds-5wno2w-CE-20220002130217-107425,2022,1,direct,Catálogo electrónico - Compra directa,GALAPAGOS,SANTA CRUZ,CENTRO DE SALUD A - SANTA CRUZ,LETERAGO DEL ECUADOR S.A,360.450000,360.45,2022-01-25T00:00:00-05:00,Orden de compra CE-20220002130217,Orden de compra para adquirir los siguientes productos:  Insulina humana NPH (acción intermedia)
1854375,ocds-5wno2w-CE-20220002130218-107425,2022,1,direct,Catálogo electrónico - Compra directa,GALAPAGOS,SANTA CRUZ,CENTRO DE SALUD A - SANTA CRUZ,LETERAGO DEL ECUADOR S.A,224.280000,224.28,2022-01-25T00:00:00-05:00,Orden de compra CE-20220002130218,Orden de compra para adquirir los siguientes productos:  Insulina humana (acción rápida)
1854444,ocds-5wno2w-CE-20220002131077-120022,2022,1,direct,Catálogo electrónico - Compra directa,CARCHI,ESPEJO,CENTRO DE SALUD B - EL ANGEL,LETERAGO DEL ECUADOR S.A,5.340000,5.34,2022-01-26T00:00:00-05:00,Orden de compra CE-20220002131077,Orden de compra para adquirir los siguientes productos:  Insulina humana (acción rápida)
1854444,ocds-5wno2w-CE-20220002131077-120022,2022,1,direct,Catálogo electrónico - Compra directa,CARCHI,ESPEJO,CENTRO DE SALUD B - EL ANGEL,LETERAGO DEL ECUADOR S.A,5.340000,5.34,2022-01-26T00:00:00-05:00,Orden de compra CE-20220002131077,Orden de compra para adquirir los siguientes productos:  Insulina humana (acción rápida)
1854374,ocds-5wno2w-CE-20220002130217-107425,2022,1,direct,Catálogo electrónico - Compra directa,GALAPAGOS,SANTA CRUZ,CENTRO DE SALUD A - SANTA CRUZ,LETERAGO DEL ECUADOR S.A,360.450000,360.45,2022-01-25T00:00:00-05:00,Orden de compra CE-20220002130217,Orden de compra para adquirir los siguientes productos:  Insulina humana NPH (acción intermedia)
1854136,ocds-5wno2w-CE-20220002128550-101438,2022,1,direct,Catálogo electrónico - Compra directa,IMBABURA,COTACACHI,CENTRO DE SALUD A-COTACACHI,LETERAGO DEL ECUADOR S.A,2002.500000,2002.5,2022-01-21T00:00:00-05:00,Orden de compra CE-20220002128550,Orden de compra para adquirir los siguientes productos:  Insulina humana NPH (acción intermedia)
1854311,ocds-5wno2w-CE-20220002129504-84474,2022,1,direct,Catálogo electrónico - Compra directa,MORONA SANTIAGO,MORONA,CENTRO CLINICO QUIRURGICO AMBULATORIO (HOSPITAL DEL DIA) - MACAS,LETERAGO DEL ECUADOR S.A,2531.160000,2531.16,2022-01-24T00:00:00-05:00,Orden de compra CE-20220002129504,Orden de compra para adquirir los siguientes productos:  Insulina humana NPH (acción intermedia)
1854114,ocds-5wno2w-CE-20220002128346-72588,2022,1,direct,Catálogo electrónico - Compra directa,TUNGURAHUA,BAÑOS DE AGUA SANTA,CENTRO DE SALUD A - BAÑOS,LETERAGO DEL ECUADOR S.A,48.060000,48.06,2022-01-20T00:00:00-05:00,Orden de compra CE-20220002128346,Orden de compra para adquirir los siguientes productos:  Insulina humana (acción rápida)
1854464,ocds-5wno2w-CE-20220002131101-134008,2022,1,direct,Catálogo electrónico - Compra directa,AZUAY,GIRON,HOSPITAL BÁSICO AIDA LEÓN DE RODRÍGUEZ LARA,LETERAGO DEL ECUADOR S.A,854.400000,854.4,2022-01-26T00:00:00-05:00,Orden de compra CE-20220002131101,Orden de compra para adquirir los siguientes productos:  Insulina humana NPH (acción intermedia)
1854613,ocds-5wno2w-CE-20220002132306-8574,2022,1,direct,Catálogo electrónico - Compra directa,CAÑAR,LA TRONCAL,DIRECCION DISTRITAL 03D03- LA TRONCAL- SALUD,LETERAGO DEL ECUADOR S.A,13.350000,13.35,2022-01-28T00:00:00-05:00,Orden de compra CE-20220002132306,Orden de compra para adquirir los siguientes productos:  Insulina humana (acción rápida)
