id,ocid,year,month,method,internal_type,region,locality,buyer,suppliers,amount,budget,date,title,description
2497694,ocds-5wno2w-CE-20240002555019-51587,2024,1,direct,Catálogo electrónico - Compra directa,PICHINCHA,RUMIÑAHUI,CENTRO CLINICO QUIRURGICO AMBULATORIO HOSPITAL DEL DIA SANGOLQUI,OFTALVIS S.A.,10472.000000,10472,2024-01-31T00:00:00-05:00,Orden de compra CE-20240002555019,"Orden de compra para adquirir los siguientes productos:  Insulina glargina, Líquido parenteral, 100 UI/mL, Caja x cartucho(s) / pluma(s)"
2503477,ocds-5wno2w-CE-20240002560212-52558,2024,2,direct,Catálogo electrónico - Compra directa,PICHINCHA,QUITO,HOSPITAL EUGENIO ESPEJO,OFTALVIS S.A.,31200.000000,31200,2024-02-08T00:00:00-05:00,Orden de compra CE-20240002560212,"Orden de compra para adquirir los siguientes productos:  Insulina glargina, Líquido parenteral, 100 UI/mL, Caja x vial(es) x 10 mL"
2502643,ocds-5wno2w-CE-20240002560102-67972,2024,2,direct,Catálogo electrónico - Compra directa,PICHINCHA,QUITO,HOSPITAL DE ATENCION INTEGRAL DEL ADULTO MAYOR,OFTALVIS S.A.,13299.440000,13299.44,2024-02-07T00:00:00-05:00,Orden de compra CE-20240002560102,"Orden de compra para adquirir los siguientes productos:  Insulina glargina, Líquido parenteral, 100 UI/mL, Caja x cartucho(s) / pluma(s)"
2497831,ocds-5wno2w-CE-20240002555448-52558,2024,1,direct,Catálogo electrónico - Compra directa,PICHINCHA,QUITO,HOSPITAL EUGENIO ESPEJO,OFTALVIS S.A.,34258.400000,34258.4,2024-01-31T00:00:00-05:00,Orden de compra CE-20240002555448,"Orden de compra para adquirir los siguientes productos:  Insulina glargina, Líquido parenteral, 100 UI/mL, Caja x cartucho(s) / pluma(s)"
2496911,ocds-5wno2w-CE-20240002554844-99342,2024,1,direct,Catálogo electrónico - Compra directa,PICHINCHA,QUITO,CENTRO DE SALUD A AMAGUAÑA,OFTALVIS S.A.,4039.200000,4039.2,2024-01-30T00:00:00-05:00,Orden de compra CE-20240002554844,"Orden de compra para adquirir los siguientes productos:  Insulina glargina, Líquido parenteral, 100 UI/mL, Caja x cartucho(s) / pluma(s)"
2501814,ocds-5wno2w-CE-20240002559130-2812,2024,2,direct,Catálogo electrónico - Compra directa,COTOPAXI,LATACUNGA,HOSPITAL GENERAL LATACUNGA,OFTALVIS S.A.,39000.000000,39000,2024-02-06T00:00:00-05:00,Orden de compra CE-20240002559130,"Orden de compra para adquirir los siguientes productos:  Insulina glargina, Líquido parenteral, 100 UI/mL, Caja x vial(es) x 10 mL"
2501815,ocds-5wno2w-CE-20240002559190-2812,2024,2,direct,Catálogo electrónico - Compra directa,COTOPAXI,LATACUNGA,HOSPITAL GENERAL LATACUNGA,OFTALVIS S.A.,37362.600000,37362.6,2024-02-06T00:00:00-05:00,Orden de compra CE-20240002559190,"Orden de compra para adquirir los siguientes productos:  Insulina glargina, Líquido parenteral, 100 UI/mL, Caja x cartucho(s) / pluma(s)"
2516510,ocds-5wno2w-CE-20240002574266-59830,2024,2,direct,Catálogo electrónico - Compra directa,GUAYAS,DURAN,HOSPITAL BASICO - DURAN,OFTALVIS S.A.,124800.000000,124800,2024-02-28T00:00:00-05:00,Orden de compra CE-20240002574266,"Orden de compra para adquirir los siguientes productos:  Insulina glargina, Líquido parenteral, 100 UI/mL, Caja x vial(es) x 10 mL"
2503727,ocds-5wno2w-CE-20240002561034-2739,2024,2,direct,Catálogo electrónico - Compra directa,GUAYAS,GUAYAQUIL,CENTRO DE ESPECIALIDADES CENTRAL GUAYAS,OFTALVIS S.A.,187200.000000,187200,2024-02-08T00:00:00-05:00,Orden de compra CE-20240002561034,"Orden de compra para adquirir los siguientes productos:  Insulina glargina, Líquido parenteral, 100 UI/mL, Caja x vial(es) x 10 mL"
2503701,ocds-5wno2w-CE-20240002560899-440879,2024,2,direct,Catálogo electrónico - Compra directa,CHIMBORAZO,RIOBAMBA,COORDINACION ZONAL 3 - SALUD,OFTALVIS S.A.,49467.600000,49467.6,2024-02-08T00:00:00-05:00,Orden de compra CE-20240002560899,"Orden de compra para adquirir los siguientes productos:  Insulina glargina, Líquido parenteral, 100 UI/mL, Caja x vial(es) x 10 mL"
