id,ocid,year,month,method,internal_type,region,locality,buyer,suppliers,amount,budget,date,title,description
2591,ocds-5wno2w-CE-20210001951913-2708,2021,1,direct,Catálogo electrónico - Compra directa,LOJA,LOJA,CENTRO CLINICO QUIRURGICO AMBULATORIO HOSPITAL DEL DIA CENTRAL LOJA,LETERAGO DEL ECUADOR S.A,1602.000000,1602,2021-01-26T00:00:00-05:00,Orden de compra CE-20210001951913,Orden de compra para adquirir los siguientes productos:  Insulina humana (acción rápida)
2592,ocds-5wno2w-CE-20210001951914-2708,2021,1,direct,Catálogo electrónico - Compra directa,LOJA,LOJA,CENTRO CLINICO QUIRURGICO AMBULATORIO HOSPITAL DEL DIA CENTRAL LOJA,LETERAGO DEL ECUADOR S.A,8544.000000,8544,2021-01-26T00:00:00-05:00,Orden de compra CE-20210001951914,Orden de compra para adquirir los siguientes productos:  Insulina humana NPH (acción intermedia)
3138,ocds-5wno2w-CE-20210001952661-836661,2021,1,direct,Catálogo electrónico - Compra directa,AZUAY,CUENCA,FUNDACION MUNICIPAL DE LA MUJER Y EL NIÑO DE CUENCA,LETERAGO DEL ECUADOR S.A,80.100000,80.1,2021-01-27T00:00:00-05:00,Orden de compra CE-20210001952661,Orden de compra para adquirir los siguientes productos:  Insulina humana (acción rápida)
3139,ocds-5wno2w-CE-20210001952662-836661,2021,1,direct,Catálogo electrónico - Compra directa,AZUAY,CUENCA,FUNDACION MUNICIPAL DE LA MUJER Y EL NIÑO DE CUENCA,LETERAGO DEL ECUADOR S.A,61.410000,61.41,2021-01-27T00:00:00-05:00,Orden de compra CE-20210001952662,Orden de compra para adquirir los siguientes productos:  Insulina humana NPH (acción intermedia)
3397,ocds-5wno2w-CE-20210001953135-99385,2021,1,direct,Catálogo electrónico - Compra directa,MANABI,MANTA,CENTRO DE SALUD A - LOS ESTEROS,LETERAGO DEL ECUADOR S.A,2499.120000,2499.12,2021-01-28T00:00:00-05:00,Orden de compra CE-20210001953135,Orden de compra para adquirir los siguientes productos:  Insulina humana NPH (acción intermedia)
3398,ocds-5wno2w-CE-20210001953136-99385,2021,1,direct,Catálogo electrónico - Compra directa,MANABI,MANTA,CENTRO DE SALUD A - LOS ESTEROS,LETERAGO DEL ECUADOR S.A,939.840000,939.84,2021-01-28T00:00:00-05:00,Orden de compra CE-20210001953136,Orden de compra para adquirir los siguientes productos:  Insulina humana (acción rápida)
3692,ocds-5wno2w-CE-20210001953508-12070,2021,1,direct,Catálogo electrónico - Compra directa,AZUAY,CUENCA,HOSPITAL VICENTE CORRAL MOSCOSO,LETERAGO DEL ECUADOR S.A,344.430000,344.43,2021-01-29T00:00:00-05:00,Orden de compra CE-20210001953508,Orden de compra para adquirir los siguientes productos:  Insulina humana (acción rápida)
3832,ocds-5wno2w-CE-20210001953762-54538,2021,2,direct,Catálogo electrónico - Compra directa,ORELLANA,FRANCISCO DE ORELLANA,HOSPITAL GENERAL FRANCISCO DE ORELLANA,LETERAGO DEL ECUADOR S.A,400.500000,400.5,2021-02-01T00:00:00-05:00,Orden de compra CE-20210001953762,Orden de compra para adquirir los siguientes productos:  Insulina humana (acción rápida)
3833,ocds-5wno2w-CE-20210001953763-54538,2021,2,direct,Catálogo electrónico - Compra directa,ORELLANA,FRANCISCO DE ORELLANA,HOSPITAL GENERAL FRANCISCO DE ORELLANA,LETERAGO DEL ECUADOR S.A,1335.000000,1335,2021-02-01T00:00:00-05:00,Orden de compra CE-20210001953763,Orden de compra para adquirir los siguientes productos:  Insulina humana NPH (acción intermedia)
4401,ocds-5wno2w-CE-20210001954744-72588,2021,2,direct,Catálogo electrónico - Compra directa,TUNGURAHUA,BAÑOS DE AGUA SANTA,CENTRO DE SALUD A - BAÑOS,LETERAGO DEL ECUADOR S.A,96.120000,96.12,2021-02-02T00:00:00-05:00,Orden de compra CE-20210001954744,Orden de compra para adquirir los siguientes productos:  Insulina humana (acción rápida)
