id,ocid,year,month,method,internal_type,region,locality,buyer,suppliers,amount,budget,date,title,description
83004,ocds-5wno2w-CE-20200001758465-29340,2020,1,direct,Catálogo electrónico - Compra directa,PICHINCHA,QUITO,HOSPITAL PROVINCIAL GENERAL PABLO ARTURO SUAREZ,LETERAGO DEL ECUADOR S.A,9345.000000,9345,2020-01-04T00:00:00-05:00,Orden de compra CE-20200001758465,Orden de compra para adquirir los siguientes productos:  Insulina humana (acción rápida)
83006,ocds-5wno2w-CE-20200001758467-29340,2020,1,direct,Catálogo electrónico - Compra directa,PICHINCHA,QUITO,HOSPITAL PROVINCIAL GENERAL PABLO ARTURO SUAREZ,LETERAGO DEL ECUADOR S.A,25365.000000,25365,2020-01-04T00:00:00-05:00,Orden de compra CE-20200001758467,Orden de compra para adquirir los siguientes productos:  Insulina humana NPH (acción intermedia)
84503,ocds-5wno2w-CE-20200001760916-106364,2020,1,direct,Catálogo electrónico - Compra directa,AZUAY,CAMILO PONCE ENRIQUEZ,DIRECCION DISTRITAL 01D07-CAMILO PONCE ENRIQUEZ-SALUD,LETERAGO DEL ECUADOR S.A,400.500000,400.5,2020-01-17T00:00:00-05:00,Orden de compra CE-20200001760916,Orden de compra para adquirir los siguientes productos:  Insulina humana NPH (acción intermedia)
84504,ocds-5wno2w-CE-20200001760917-106364,2020,1,direct,Catálogo electrónico - Compra directa,AZUAY,CAMILO PONCE ENRIQUEZ,DIRECCION DISTRITAL 01D07-CAMILO PONCE ENRIQUEZ-SALUD,LETERAGO DEL ECUADOR S.A,80.100000,80.1,2020-01-17T00:00:00-05:00,Orden de compra CE-20200001760917,Orden de compra para adquirir los siguientes productos:  Insulina humana (acción rápida)
85340,ocds-5wno2w-CE-20200001762355-121872,2020,1,direct,Catálogo electrónico - Compra directa,CHIMBORAZO,RIOBAMBA,DIRECCION DISTRITAL 06D01-CHAMBO-RIOBAMBA-SALUD,LETERAGO DEL ECUADOR S.A,4005.000000,4005,2020-01-21T00:00:00-05:00,Orden de compra CE-20200001762355,Orden de compra para adquirir los siguientes productos:  Insulina humana NPH (acción intermedia)
86006,ocds-5wno2w-CE-20200001763511-18340,2020,1,direct,Catálogo electrónico - Compra directa,ZAMORA CHINCHIPE,CHINCHIPE,DIRECCION DISTRITAL 19D03-CHINCHIPE-PALANDA-SALUD,LETERAGO DEL ECUADOR S.A,400.500000,400.5,2020-01-22T00:00:00-05:00,Orden de compra CE-20200001763511,Orden de compra para adquirir los siguientes productos:  Insulina humana NPH (acción intermedia)
86007,ocds-5wno2w-CE-20200001763512-18340,2020,1,direct,Catálogo electrónico - Compra directa,ZAMORA CHINCHIPE,CHINCHIPE,DIRECCION DISTRITAL 19D03-CHINCHIPE-PALANDA-SALUD,LETERAGO DEL ECUADOR S.A,160.200000,160.2,2020-01-22T00:00:00-05:00,Orden de compra CE-20200001763512,Orden de compra para adquirir los siguientes productos:  Insulina humana (acción rápida)
86228,ocds-5wno2w-CE-20200001763933-134008,2020,1,direct,Catálogo electrónico - Compra directa,AZUAY,GIRON,HOSPITAL CANTONAL DE GIRON,LETERAGO DEL ECUADOR S.A,640.800000,640.8,2020-01-23T00:00:00-05:00,Orden de compra CE-20200001763933,Orden de compra para adquirir los siguientes productos:  Insulina humana NPH (acción intermedia)
86229,ocds-5wno2w-CE-20200001763934-134008,2020,1,direct,Catálogo electrónico - Compra directa,AZUAY,GIRON,HOSPITAL CANTONAL DE GIRON,LETERAGO DEL ECUADOR S.A,18.690000,18.69,2020-01-23T00:00:00-05:00,Orden de compra CE-20200001763934,Orden de compra para adquirir los siguientes productos:  Insulina humana (acción rápida)
86275,ocds-5wno2w-CE-20200001763993-23237,2020,1,direct,Catálogo electrónico - Compra directa,AZUAY,CUENCA,DIRECCION DISTRITAL 01D01 PARROQUIAS URBANAS: MACHANGARA A BELLAVISTA Y PARROQUIAS RURALES: NULTI A SAYAUSI - SALUD,LETERAGO DEL ECUADOR S.A,4005.000000,4005,2020-01-23T00:00:00-05:00,Orden de compra CE-20200001763993,Orden de compra para adquirir los siguientes productos:  Insulina humana NPH (acción intermedia)
86277,ocds-5wno2w-CE-20200001763995-23237,2020,1,direct,Catálogo electrónico - Compra directa,AZUAY,CUENCA,DIRECCION DISTRITAL 01D01 PARROQUIAS URBANAS: MACHANGARA A BELLAVISTA Y PARROQUIAS RURALES: NULTI A SAYAUSI - SALUD,LETERAGO DEL ECUADOR S.A,667.500000,667.5,2020-01-23T00:00:00-05:00,Orden de compra CE-20200001763995,Orden de compra para adquirir los siguientes productos:  Insulina humana (acción rápida)
86352,ocds-5wno2w-CE-20200001764113-3283,2020,1,direct,Catálogo electrónico - Compra directa,SANTA ELENA,LA LIBERTAD,CENTRO DE ESPECIALIDADES LA LIBERTAD,LETERAGO DEL ECUADOR S.A,6752.430000,6752.43,2020-01-23T00:00:00-05:00,Orden de compra CE-20200001764113,Orden de compra para adquirir los siguientes productos:  Insulina humana NPH (acción intermedia)
86353,ocds-5wno2w-CE-20200001764114-3283,2020,1,direct,Catálogo electrónico - Compra directa,SANTA ELENA,LA LIBERTAD,CENTRO DE ESPECIALIDADES LA LIBERTAD,LETERAGO DEL ECUADOR S.A,950.520000,950.52,2020-01-23T00:00:00-05:00,Orden de compra CE-20200001764114,Orden de compra para adquirir los siguientes productos:  Insulina humana (acción rápida)
86397,ocds-5wno2w-CE-20200001764169-16346,2020,1,direct,Catálogo electrónico - Compra directa,EL ORO,MACHALA,DIRECCION DISTRITAL 07D02-MACHALA-SALUD,LETERAGO DEL ECUADOR S.A,9345.000000,9345,2020-01-23T00:00:00-05:00,Orden de compra CE-20200001764169,Orden de compra para adquirir los siguientes productos:  Insulina humana NPH (acción intermedia)
86399,ocds-5wno2w-CE-20200001764171-16346,2020,1,direct,Catálogo electrónico - Compra directa,EL ORO,MACHALA,DIRECCION DISTRITAL 07D02-MACHALA-SALUD,LETERAGO DEL ECUADOR S.A,640.800000,640.8,2020-01-23T00:00:00-05:00,Orden de compra CE-20200001764171,Orden de compra para adquirir los siguientes productos:  Insulina humana (acción rápida)
86978,ocds-5wno2w-CE-20200001765068-76040,2020,1,direct,Catálogo electrónico - Compra directa,MORONA SANTIAGO,SUCUA,DIRECCION DISTRITAL 14D03 - LOGROÑO - SUCUA - SALUD,LETERAGO DEL ECUADOR S.A,1068.000000,1068,2020-01-24T00:00:00-05:00,Orden de compra CE-20200001765068,Orden de compra para adquirir los siguientes productos:  Insulina humana NPH (acción intermedia)
87426,ocds-5wno2w-CE-20200001765610-112460,2020,1,direct,Catálogo electrónico - Compra directa,GUAYAS,GUAYAQUIL,DIRECCION DISTRITAL 09D06 TARQUI 2 SALUD,LETERAGO DEL ECUADOR S.A,24030.000000,24030,2020-01-24T00:00:00-05:00,Orden de compra CE-20200001765610,Orden de compra para adquirir los siguientes productos:  Insulina humana NPH (acción intermedia)
87427,ocds-5wno2w-CE-20200001765611-112460,2020,1,direct,Catálogo electrónico - Compra directa,GUAYAS,GUAYAQUIL,DIRECCION DISTRITAL 09D06 TARQUI 2 SALUD,LETERAGO DEL ECUADOR S.A,534.000000,534,2020-01-24T00:00:00-05:00,Orden de compra CE-20200001765611,Orden de compra para adquirir los siguientes productos:  Insulina humana (acción rápida)
87530,ocds-5wno2w-CE-20200001765758-72588,2020,1,direct,Catálogo electrónico - Compra directa,TUNGURAHUA,BAÑOS DE AGUA SANTA,CENTRO DE SALUD A - BAÑOS,LETERAGO DEL ECUADOR S.A,1068.000000,1068,2020-01-27T00:00:00-05:00,Orden de compra CE-20200001765758,Orden de compra para adquirir los siguientes productos:  Insulina humana NPH (acción intermedia)
