,,,,,,,,,
,,,,,,,,,
,Tabla N°:,2.2 ,,,,,,,
,Nombre de la tabla:,"Población en viviendas particulares por condición de pobreza por NBI y sexo al nacer, según provincia, cantón, parroquia y autoidentificación étnica",,,,,,,
,Fuente:,VIII Censo de Población y VII de Vivienda ,,,,,,,
,Elaboración:,Instituto Nacional de Estadística y Censos (INEC) - Componente de Metodología y Análisis – CPV 2022 ,,,,,,,
,,,,,,,,,
,,,,,,,,,
Índice,"Provincia, cantón, parroquia de residencia y autoidentificación según cultura y costumbres",,,,Número total de personas en viviendas particulares,Condición de Pobreza por Necesidades Básicas Insatisfechas NBI,,,
,,,,,,No pobres,,Pobres,
,,,,,,Sexo al nacer,,Sexo al nacer,
,,,,,,Hombres,Mujeres,Hombres,Mujeres
,,,,,,,,,
,Azuay,Cuenca,Llacao,Otro,,,,,
,Azuay,Cuenca,Molleturo,Total Molleturo,"6,882","1,253","1,283","2,050","2,296"
,Azuay,Cuenca,Molleturo,Indígena,21,2,1,5,13
,Azuay,Cuenca,Molleturo,Afroecuatoriana/o,24,12,4,3,5
,Azuay,Cuenca,Molleturo,Montubia/o,55,11,5,21,18
,Azuay,Cuenca,Molleturo,Mestiza/o,"6,736","1,219","1,263","2,006","2,248"
,Azuay,Cuenca,Molleturo,Blanca/o,46,9,10,15,12
,Azuay,Cuenca,Molleturo,Otro,,,,,
,Azuay,Cuenca,Nulti,Total Nulti,"6,707","2,486","2,499",818,904
,Azuay,Cuenca,Nulti,Indígena,41,12,10,8,11
,Azuay,Cuenca,Nulti,Afroecuatoriana/o,27,9,8,5,5
,Azuay,Cuenca,Nulti,Montubia/o,53,28,13,4,8
,Azuay,Cuenca,Nulti,Mestiza/o,"6,518","2,409","2,436",798,875
,Azuay,Cuenca,Nulti,Blanca/o,68,28,32,3,5
,Azuay,Cuenca,Nulti,Otro,,,,,
,Azuay,Cuenca,Octavio Cordero Palacios,Total Octavio Cordero Palacios,"2,516",715,837,419,545
,Azuay,Cuenca,Octavio Cordero Palacios,Indígena,24,9,5,4,6
,Azuay,Cuenca,Octavio Cordero Palacios,Afroecuatoriana/o,1,1,,,
,Azuay,Cuenca,Octavio Cordero Palacios,Montubia/o,9,2,4,1,2
,Azuay,Cuenca,Octavio Cordero Palacios,Mestiza/o,"2,469",696,822,414,537
