,,,,,,,,,,,
,,,,,,,,,,,
,Tabla N°:,1.2 ,,,,,,,,,
,Nombre de la tabla:,"Población en viviendas particulares por condición de pobreza por NBI y sexo al nacer, según provincia, cantón, parroquia y área de residencia",,,,,,,,,
,Fuente:,VIII Censo de Población y VII de Vivienda ,,,,,,,,,
,Elaboración:,Instituto Nacional de Estadística y Censos (INEC) - Componente de Metodología y Análisis – CPV 2022 ,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Índice,"Provincia, cantón, parroquia y área de residencia",,,Número total de personas en viviendas particulares,Número total de personas en viviendas particulares,Condición de Pobreza por Necesidades Básicas Insatisfechas NBI,,,,,
,,,,,,No pobres,,"Total
No pobres",Pobres,,"Total
Pobres"
,,,,,,Sexo al nacer,,,Sexo al nacer,,
,,,,,,Hombres,Mujeres,,Hombres,Mujeres,
,,,,,,,,,,,
,Chimborazo,Chambo,Chambo,Urbana,"5,430","2,211","2,348","4,559",427,444,871
,Chimborazo,Chambo,Chambo,Rural,"7,969","1,819","2,023","3,842","1,902","2,225","4,127"
,Chimborazo,Chunchi,Total Chunchi,Total Chunchi,"10,599","2,242","2,640","4,882","2,674","3,043","5,717"
,Chimborazo,Chunchi,Total Chunchi,Urbana,"3,767","1,477","1,737","3,214",257,296,553
,Chimborazo,Chunchi,Total Chunchi,Rural,"6,832",765,903,"1,668","2,417","2,747","5,164"
,Chimborazo,Chunchi,Chunchi,Total Chunchi,"6,796","1,719","2,009","3,728","1,448","1,620","3,068"
,Chimborazo,Chunchi,Chunchi,Urbana,"3,767","1,477","1,737","3,214",257,296,553
,Chimborazo,Chunchi,Chunchi,Rural,"3,029",242,272,514,"1,191","1,324","2,515"
,Chimborazo,Chunchi,Capzol,Total Capzol,684,89,112,201,236,247,483
,Chimborazo,Chunchi,Capzol,Rural,684,89,112,201,236,247,483
,Chimborazo,Chunchi,Compud,Total Compud,724,45,49,94,301,329,630
,Chimborazo,Chunchi,Compud,Rural,724,45,49,94,301,329,630
,Chimborazo,Chunchi,Gonzol,Total Gonzol,"1,083",132,160,292,359,432,791
,Chimborazo,Chunchi,Gonzol,Rural,"1,083",132,160,292,359,432,791
,Chimborazo,Chunchi,Llagos,Total Llagos,"1,312",257,310,567,330,415,745
,Chimborazo,Chunchi,Llagos,Rural,"1,312",257,310,567,330,415,745
,Chimborazo,Guamote,Total Guamote,Total Guamote,"35,757","1,959","2,141","4,100","15,042","16,615","31,657"
,Chimborazo,Guamote,Total Guamote,Urbana,"3,071",922,"1,004","1,926",518,627,"1,145"
,Chimborazo,Guamote,Total Guamote,Rural,"32,686","1,037","1,137","2,174","14,524","15,988","30,512"
,Chimborazo,Guamote,Guamote,Total Guamote,"19,374","1,423","1,542","2,965","7,835","8,574","16,409"
,Chimborazo,Guamote,Guamote,Urbana,"3,071",922,"1,004","1,926",518,627,"1,145"
,Chimborazo,Guamote,Guamote,Rural,"16,303",501,538,"1,039","7,317","7,947","15,264"
,Chimborazo,Guamote,Cebadas,Total Cebadas,"6,410",285,331,616,"2,730","3,064","5,794"
,Chimborazo,Guamote,Cebadas,Rural,"6,410",285,331,616,"2,730","3,064","5,794"
,Chimborazo,Guamote,Palmira,Total Palmira,"9,973",251,268,519,"4,477","4,977","9,454"
,Chimborazo,Guamote,Palmira,Rural,"9,973",251,268,519,"4,477","4,977","9,454"
,Chimborazo,Guano,Total Guano,Total Guano,"48,251","11,629","12,774","24,403","11,132","12,716","23,848"
,Chimborazo,Guano,Total Guano,Urbana,"9,135","3,473","3,872","7,345",817,973,"1,790"
,Chimborazo,Guano,Total Guano,Rural,"39,116","8,156","8,902","17,058","10,315","11,743","22,058"
,Chimborazo,Guano,Guano,Total Guano,"22,688","7,142","7,887","15,029","3,541","4,118","7,659"
,Chimborazo,Guano,Guano,Urbana,"9,135","3,473","3,872","7,345",817,973,"1,790"
,Chimborazo,Guano,Guano,Rural,"13,553","3,669","4,015","7,684","2,724","3,145","5,869"
,Chimborazo,Guano,Guanando,Total Guanando,224,28,18,46,85,93,178
,Chimborazo,Guano,Guanando,Rural,224,28,18,46,85,93,178
,Chimborazo,Guano,Ilapo,Total Ilapo,"1,156",106,105,211,452,493,945
,Chimborazo,Guano,Ilapo,Rural,"1,156",106,105,211,452,493,945
,Chimborazo,Guano,La Providencia,Total La Providencia,659,212,222,434,101,124,225
,Chimborazo,Guano,La Providencia,Rural,659,212,222,434,101,124,225
,Chimborazo,Guano,San Andrés,Total San Andrés,"13,154","2,813","3,080","5,893","3,378","3,883","7,261"
,Chimborazo,Guano,San Andrés,Rural,"13,154","2,813","3,080","5,893","3,378","3,883","7,261"
,Chimborazo,Guano,San Gerardo,Total San Gerardo,"3,281",626,684,"1,310",882,"1,089","1,971"
,Chimborazo,Guano,San Gerardo,Rural,"3,281",626,684,"1,310",882,"1,089","1,971"
,Chimborazo,Guano,San Isidro De Patulú,Total San Isidro De Patulú,"4,472",454,498,952,"1,682","1,838","3,520"
,Chimborazo,Guano,San Isidro De Patulú,Rural,"4,472",454,498,952,"1,682","1,838","3,520"
,Chimborazo,Guano,San José del Chazo,Total San José del Chazo,872,107,126,233,310,329,639
,Chimborazo,Guano,San José del Chazo,Rural,872,107,126,233,310,329,639
,Chimborazo,Guano,Santa Fé de Galán,Total Santa Fé de Galán,"1,471",124,136,260,573,638,"1,211"
,Chimborazo,Guano,Santa Fé de Galán,Rural,"1,471",124,136,260,573,638,"1,211"
,Chimborazo,Guano,Valparaiso,Total Valparaiso,274,17,18,35,128,111,239
,Chimborazo,Guano,Valparaiso,Rural,274,17,18,35,128,111,239
,Chimborazo,Pallatanga,Total Pallatanga,Total Pallatanga,"11,732","1,952","2,176","4,128","3,683","3,921","7,604"
,Chimborazo,Pallatanga,Total Pallatanga,Urbana,"4,206","1,401","1,593","2,994",560,652,"1,212"
,Chimborazo,Pallatanga,Total Pallatanga,Rural,"7,526",551,583,"1,134","3,123","3,269","6,392"
,Chimborazo,Pallatanga,Pallatanga,Total Pallatanga,"11,732","1,952","2,176","4,128","3,683","3,921","7,604"
,Chimborazo,Pallatanga,Pallatanga,Urbana,"4,206","1,401","1,593","2,994",560,652,"1,212"
,Chimborazo,Pallatanga,Pallatanga,Rural,"7,526",551,583,"1,134","3,123","3,269","6,392"
,Chimborazo,Penipe,Total Penipe,Total Penipe,"6,587","1,605","1,747","3,352","1,520","1,715","3,235"
,Chimborazo,Penipe,Total Penipe,Urbana,"1,260",507,584,"1,091",79,90,169
,Chimborazo,Penipe,Total Penipe,Rural,"5,327","1,098","1,163","2,261","1,441","1,625","3,066"
,Chimborazo,Penipe,Penipe,Total Penipe,"2,243",674,752,"1,426",392,425,817
,Chimborazo,Penipe,Penipe,Urbana,"1,260",507,584,"1,091",79,90,169
,Chimborazo,Penipe,Penipe,Rural,983,167,168,335,313,335,648
,Chimborazo,Penipe,El Altar,Total El Altar,"1,294",327,317,644,305,345,650
,Chimborazo,Penipe,El Altar,Rural,"1,294",327,317,644,305,345,650
,Chimborazo,Penipe,Matus,Total Matus,786,131,163,294,231,261,492
,Chimborazo,Penipe,Matus,Rural,786,131,163,294,231,261,492
,Chimborazo,Penipe,Puela,Total Puela,533,98,95,193,159,181,340
,Chimborazo,Penipe,Puela,Rural,533,98,95,193,159,181,340
,Chimborazo,Penipe,San Antonio de Bayushig,Total San Antonio de Bayushig,"1,093",264,318,582,225,286,511
,Chimborazo,Penipe,San Antonio de Bayushig,Rural,"1,093",264,318,582,225,286,511
,Chimborazo,Penipe,La Candelaria,Total La Candelaria,389,47,40,87,143,159,302
,Chimborazo,Penipe,La Candelaria,Rural,389,47,40,87,143,159,302
,Chimborazo,Penipe,Bilbao,Total Bilbao,249,64,62,126,65,58,123
,Chimborazo,Penipe,Bilbao,Rural,249,64,62,126,65,58,123
,Chimborazo,Cumandá,Total Cumandá,Total Cumandá,"16,593","5,062","5,525","10,587","2,905","3,101","6,006"
,Chimborazo,Cumandá,Total Cumandá,Urbana,"11,433","4,160","4,656","8,816","1,229","1,388","2,617"
,Chimborazo,Cumandá,Total Cumandá,Rural,"5,160",902,869,"1,771","1,676","1,713","3,389"
,Chimborazo,Cumandá,Cumandá,Total Cumandá,"16,593","5,062","5,525","10,587","2,905","3,101","6,006"
,Chimborazo,Cumandá,Cumandá,Urbana,"11,433","4,160","4,656","8,816","1,229","1,388","2,617"
,Chimborazo,Cumandá,Cumandá,Rural,"5,160",902,869,"1,771","1,676","1,713","3,389"
,El Oro,Total El Oro,Total El Oro,Total El Oro,"712,260","222,067","229,623","451,690","129,291","131,279","260,570"
,El Oro,Total El Oro,Total El Oro,Urbana,"559,561","189,065","197,931","386,996","84,082","88,483","172,565"
,El Oro,Total El Oro,Total El Oro,Rural,"152,699","33,002","31,692","64,694","45,209","42,796","88,005"
,El Oro,Machala,Total Machala,Total Machala,"304,843","99,244","103,518","202,762","50,120","51,961","102,081"
,El Oro,Machala,Total Machala,Urbana,"286,679","96,791","101,040","197,831","43,309","45,539","88,848"
,El Oro,Machala,Total Machala,Rural,"18,164","2,453","2,478","4,931","6,811","6,422","13,233"
,El Oro,Machala,Machala,Total Machala,"300,360","98,411","102,715","201,126","48,668","50,566","99,234"
,El Oro,Machala,Machala,Urbana,"286,679","96,791","101,040","197,831","43,309","45,539","88,848"
,El Oro,Machala,Machala,Rural,"13,681","1,620","1,675","3,295","5,359","5,027","10,386"
,El Oro,Machala,El Retiro,Total El Retiro,"4,483",833,803,"1,636","1,452","1,395","2,847"
,El Oro,Machala,El Retiro,Rural,"4,483",833,803,"1,636","1,452","1,395","2,847"
,El Oro,Arenillas,Total Arenillas,Total Arenillas,"32,347","9,584","9,920","19,504","6,442","6,401","12,843"
,El Oro,Arenillas,Total Arenillas,Urbana,"21,522","7,179","7,594","14,773","3,304","3,445","6,749"
,El Oro,Arenillas,Total Arenillas,Rural,"10,825","2,405","2,326","4,731","3,138","2,956","6,094"
,El Oro,Arenillas,Arenillas,Total Arenillas,"23,915","7,690","8,116","15,806","4,010","4,099","8,109"
,El Oro,Arenillas,Arenillas,Urbana,"21,522","7,179","7,594","14,773","3,304","3,445","6,749"
,El Oro,Arenillas,Arenillas,Rural,"2,393",511,522,"1,033",706,654,"1,360"
,El Oro,Arenillas,Chacras,Total Chacras,"1,924",456,433,889,529,506,"1,035"
,El Oro,Arenillas,Chacras,Rural,"1,924",456,433,889,529,506,"1,035"
,El Oro,Arenillas,Palmales,Total Palmales,"3,382",664,643,"1,307","1,067","1,008","2,075"
,El Oro,Arenillas,Palmales,Rural,"3,382",664,643,"1,307","1,067","1,008","2,075"
,El Oro,Arenillas,Carcabón,Total Carcabón,883,205,218,423,254,206,460
,El Oro,Arenillas,Carcabón,Rural,883,205,218,423,254,206,460
,El Oro,Arenillas,La Cuca,Total La Cuca,"2,243",569,510,"1,079",582,582,"1,164"
,El Oro,Arenillas,La Cuca,Rural,"2,243",569,510,"1,079",582,582,"1,164"
,El Oro,Atahualpa,Total Atahualpa,Total Atahualpa,"6,110","1,831","1,808","3,639","1,284","1,187","2,471"
,El Oro,Atahualpa,Total Atahualpa,Urbana,"1,767",822,817,"1,639",59,69,128
,El Oro,Atahualpa,Total Atahualpa,Rural,"4,343","1,009",991,"2,000","1,225","1,118","2,343"
,El Oro,Atahualpa,Paccha,Total Paccha,"2,507",874,870,"1,744",379,384,763
,El Oro,Atahualpa,Paccha,Urbana,"1,767",822,817,"1,639",59,69,128
,El Oro,Atahualpa,Paccha,Rural,740,52,53,105,320,315,635
,El Oro,Atahualpa,Ayapamba,Total Ayapamba,"1,413",404,390,794,327,292,619
,El Oro,Atahualpa,Ayapamba,Rural,"1,413",404,390,794,327,292,619
,El Oro,Atahualpa,Cordoncillo,Total Cordoncillo,985,235,231,466,274,245,519
,El Oro,Atahualpa,Cordoncillo,Rural,985,235,231,466,274,245,519
,El Oro,Atahualpa,Milagro,Total Milagro,435,157,140,297,72,66,138
,El Oro,Atahualpa,Milagro,Rural,435,157,140,297,72,66,138
,El Oro,Atahualpa,San José,Total San José,468,118,130,248,121,99,220
,El Oro,Atahualpa,San José,Rural,468,118,130,248,121,99,220
,El Oro,Atahualpa,San Juan de Cerro Azul,Total San Juan de Cerro Azul,302,43,47,90,111,101,212
,El Oro,Atahualpa,San Juan de Cerro Azul,Rural,302,43,47,90,111,101,212
,El Oro,Balsas,Total Balsas,Total Balsas,"7,869","1,952","1,861","3,813","2,103","1,953","4,056"
,El Oro,Balsas,Total Balsas,Urbana,"4,495","1,332","1,234","2,566",971,958,"1,929"
,El Oro,Balsas,Total Balsas,Rural,"3,374",620,627,"1,247","1,132",995,"2,127"
,El Oro,Balsas,Balsas,Total Balsas,"6,283","1,454","1,369","2,823","1,779","1,681","3,460"
,El Oro,Balsas,Balsas,Urbana,"4,495","1,332","1,234","2,566",971,958,"1,929"
,El Oro,Balsas,Balsas,Rural,"1,788",122,135,257,808,723,"1,531"
,El Oro,Balsas,Bellamaría,Total Bellamaría,"1,586",498,492,990,324,272,596
,El Oro,Balsas,Bellamaría,Rural,"1,586",498,492,990,324,272,596
,El Oro,Chilla,Total Chilla,Total Chilla,"2,251",410,431,841,695,715,"1,410"
,El Oro,Chilla,Total Chilla,Urbana,910,227,258,485,195,230,425
,El Oro,Chilla,Total Chilla,Rural,"1,341",183,173,356,500,485,985
,El Oro,Chilla,Chilla,Total Chilla,"2,251",410,431,841,695,715,"1,410"
,El Oro,Chilla,Chilla,Urbana,910,227,258,485,195,230,425
,El Oro,Chilla,Chilla,Rural,"1,341",183,173,356,500,485,985
,El Oro,El Guabo,Total El Guabo,Total El Guabo,"59,168","14,151","14,038","28,189","15,822","15,157","30,979"
,El Oro,El Guabo,Total El Guabo,Urbana,"26,597","7,815","7,948","15,763","5,320","5,514","10,834"
,El Oro,El Guabo,Total El Guabo,Rural,"32,571","6,336","6,090","12,426","10,502","9,643","20,145"
,El Oro,El Guabo,El Guabo,Total El Guabo,"35,307","8,924","9,043","17,967","8,752","8,588","17,340"
,El Oro,El Guabo,El Guabo,Urbana,"26,597","7,815","7,948","15,763","5,320","5,514","10,834"
,El Oro,El Guabo,El Guabo,Rural,"8,710","1,109","1,095","2,204","3,432","3,074","6,506"
,El Oro,El Guabo,Barbones,Total Barbones,"7,337","1,262","1,224","2,486","2,541","2,310","4,851"
,El Oro,El Guabo,Barbones,Rural,"7,337","1,262","1,224","2,486","2,541","2,310","4,851"
,El Oro,El Guabo,La Iberia,Total La Iberia,"4,433",881,905,"1,786","1,331","1,316","2,647"
,El Oro,El Guabo,La Iberia,Rural,"4,433",881,905,"1,786","1,331","1,316","2,647"
,El Oro,El Guabo,Tendales,Total Tendales,"5,326","1,014",907,"1,921","1,791","1,614","3,405"
,El Oro,El Guabo,Tendales,Rural,"5,326","1,014",907,"1,921","1,791","1,614","3,405"
,El Oro,El Guabo,Río Bonito,Total Río Bonito,"6,765","2,070","1,959","4,029","1,407","1,329","2,736"
,El Oro,El Guabo,Río Bonito,Rural,"6,765","2,070","1,959","4,029","1,407","1,329","2,736"
,El Oro,Huaquillas,Total Huaquillas,Total Huaquillas,"56,267","16,067","16,942","33,009","11,351","11,907","23,258"
,El Oro,Huaquillas,Total Huaquillas,Urbana,"55,985","16,059","16,937","32,996","11,161","11,828","22,989"
,El Oro,Huaquillas,Total Huaquillas,Rural,282,8,5,13,190,79,269
,El Oro,Huaquillas,Huaquillas,Total Huaquillas,"56,267","16,067","16,942","33,009","11,351","11,907","23,258"
,El Oro,Huaquillas,Huaquillas,Urbana,"55,985","16,059","16,937","32,996","11,161","11,828","22,989"
,El Oro,Huaquillas,Huaquillas,Rural,282,8,5,13,190,79,269
,El Oro,Marcabelí,Total Marcabelí,Total Marcabelí,"6,859","2,488","2,383","4,871","1,041",947,"1,988"
,El Oro,Marcabelí,Total Marcabelí,Urbana,"4,962","2,024","1,975","3,999",492,471,963
,El Oro,Marcabelí,Total Marcabelí,Rural,"1,897",464,408,872,549,476,"1,025"
,El Oro,Marcabelí,Marcabelí,Total Marcabelí,"6,603","2,419","2,313","4,732",980,891,"1,871"
,El Oro,Marcabelí,Marcabelí,Urbana,"4,962","2,024","1,975","3,999",492,471,963
,El Oro,Marcabelí,Marcabelí,Rural,"1,641",395,338,733,488,420,908
,El Oro,Marcabelí,El Ingenio,Total El Ingenio,256,69,70,139,61,56,117
,El Oro,Marcabelí,El Ingenio,Rural,256,69,70,139,61,56,117
,El Oro,Pasaje,Total Pasaje,Total Pasaje,"83,481","26,277","27,305","53,582","14,619","15,280","29,899"
,El Oro,Pasaje,Total Pasaje,Urbana,"60,081","20,100","21,325","41,425","8,978","9,678","18,656"
,El Oro,Pasaje,Total Pasaje,Rural,"23,400","6,177","5,980","12,157","5,641","5,602","11,243"
,El Oro,Pasaje,Pasaje,Total Pasaje,"60,886","20,247","21,456","41,703","9,262","9,921","19,183"
,El Oro,Pasaje,Pasaje,Urbana,"60,081","20,100","21,325","41,425","8,978","9,678","18,656"
,El Oro,Pasaje,Pasaje,Rural,805,147,131,278,284,243,527
,El Oro,Pasaje,Buenavista,Total Buenavista,"7,708","2,286","2,140","4,426","1,658","1,624","3,282"
,El Oro,Pasaje,Buenavista,Rural,"7,708","2,286","2,140","4,426","1,658","1,624","3,282"
,El Oro,Pasaje,Casacay,Total Casacay,"2,887",836,836,"1,672",592,623,"1,215"
,El Oro,Pasaje,Casacay,Rural,"2,887",836,836,"1,672",592,623,"1,215"
,El Oro,Pasaje,La Peaña,Total La Peaña,"4,025",820,828,"1,648","1,193","1,184","2,377"
,El Oro,Pasaje,La Peaña,Rural,"4,025",820,828,"1,648","1,193","1,184","2,377"
,El Oro,Pasaje,Progreso,Total Progreso,"4,906","1,348","1,311","2,659","1,086","1,161","2,247"
,El Oro,Pasaje,Progreso,Rural,"4,906","1,348","1,311","2,659","1,086","1,161","2,247"
,El Oro,Pasaje,Uzhcurrumi,Total Uzhcurrumi,904,186,179,365,268,271,539
,El Oro,Pasaje,Uzhcurrumi,Rural,904,186,179,365,268,271,539
,El Oro,Pasaje,Cañaquemada,Total Cañaquemada,"2,165",554,555,"1,109",560,496,"1,056"
,El Oro,Pasaje,Cañaquemada,Rural,"2,165",554,555,"1,109",560,496,"1,056"
,El Oro,Piñas,Total Piñas,Total Piñas,"29,397","9,298","9,609","18,907","5,416","5,074","10,490"
,El Oro,Piñas,Total Piñas,Urbana,"18,475","7,181","7,660","14,841","1,848","1,786","3,634"
,El Oro,Piñas,Total Piñas,Rural,"10,922","2,117","1,949","4,066","3,568","3,288","6,856"
,El Oro,Piñas,Piñas,Total Piñas,"20,471","7,355","7,837","15,192","2,682","2,597","5,279"
,El Oro,Piñas,Piñas,Urbana,"18,475","7,181","7,660","14,841","1,848","1,786","3,634"
,El Oro,Piñas,Piñas,Rural,"1,996",174,177,351,834,811,"1,645"
,El Oro,Piñas,Capiro,Total Capiro,"1,820",287,253,540,703,577,"1,280"
,El Oro,Piñas,Capiro,Rural,"1,820",287,253,540,703,577,"1,280"
,El Oro,Piñas,La Bocana,Total La Bocana,"1,357",291,243,534,428,395,823
,El Oro,Piñas,La Bocana,Rural,"1,357",291,243,534,428,395,823
,El Oro,Piñas,Moromoro,Total Moromoro,"1,264",343,293,636,330,298,628
,El Oro,Piñas,Moromoro,Rural,"1,264",343,293,636,330,298,628
,El Oro,Piñas,Piedras,Total Piedras,517,197,173,370,85,62,147
,El Oro,Piñas,Piedras,Rural,517,197,173,370,85,62,147
,El Oro,Piñas,San Roque,Total San Roque,"1,193",259,248,507,336,350,686
,El Oro,Piñas,San Roque,Rural,"1,193",259,248,507,336,350,686
,El Oro,Piñas,Saracay,Total Saracay,"2,775",566,562,"1,128",852,795,"1,647"
,El Oro,Piñas,Saracay,Rural,"2,775",566,562,"1,128",852,795,"1,647"
,El Oro,Portovelo,Total Portovelo,Total Portovelo,"13,543","4,663","4,657","9,320","2,155","2,068","4,223"
,El Oro,Portovelo,Total Portovelo,Urbana,"9,753","3,876","3,919","7,795",976,982,"1,958"
,El Oro,Portovelo,Total Portovelo,Rural,"3,790",787,738,"1,525","1,179","1,086","2,265"
,El Oro,Portovelo,Portovelo,Total Portovelo,"11,376","4,270","4,320","8,590","1,417","1,369","2,786"
,El Oro,Portovelo,Portovelo,Urbana,"9,753","3,876","3,919","7,795",976,982,"1,958"
,El Oro,Portovelo,Portovelo,Rural,"1,623",394,401,795,441,387,828
,El Oro,Portovelo,Curtincapa,Total Curtincapa,538,154,115,269,134,135,269
,El Oro,Portovelo,Curtincapa,Rural,538,154,115,269,134,135,269
,El Oro,Portovelo,Morales,Total Morales,692,75,78,153,267,272,539
,El Oro,Portovelo,Morales,Rural,692,75,78,153,267,272,539
,El Oro,Portovelo,Salatí,Total Salatí,937,164,144,308,337,292,629
,El Oro,Portovelo,Salatí,Rural,937,164,144,308,337,292,629
,El Oro,Santa Rosa,Total Santa Rosa,Total Santa Rosa,"80,089","27,349","28,457","55,806","12,034","12,249","24,283"
,El Oro,Santa Rosa,Total Santa Rosa,Urbana,"56,791","20,706","22,127","42,833","6,732","7,226","13,958"
,El Oro,Santa Rosa,Total Santa Rosa,Rural,"23,298","6,643","6,330","12,973","5,302","5,023","10,325"
,El Oro,Santa Rosa,Santa Rosa,Total Santa Rosa,"61,430","21,862","23,218","45,080","7,975","8,375","16,350"
,El Oro,Santa Rosa,Santa Rosa,Urbana,"56,791","20,706","22,127","42,833","6,732","7,226","13,958"
,El Oro,Santa Rosa,Santa Rosa,Rural,"4,639","1,156","1,091","2,247","1,243","1,149","2,392"
,El Oro,Santa Rosa,Bellavista,Total Bellavista,"5,047","1,726","1,688","3,414",804,829,"1,633"
,El Oro,Santa Rosa,Bellavista,Rural,"5,047","1,726","1,688","3,414",804,829,"1,633"
,El Oro,Santa Rosa,Jambelí,Total Jambelí,"1,126",194,157,351,414,361,775
,El Oro,Santa Rosa,Jambelí,Rural,"1,126",194,157,351,414,361,775
,El Oro,Santa Rosa,La Avanzada,Total La Avanzada,"2,435",814,807,"1,621",427,387,814
,El Oro,Santa Rosa,La Avanzada,Rural,"2,435",814,807,"1,621",427,387,814
,El Oro,Santa Rosa,San Antonio,Total San Antonio,"1,446",485,466,951,246,249,495
,El Oro,Santa Rosa,San Antonio,Rural,"1,446",485,466,951,246,249,495
,El Oro,Santa Rosa,Torata,Total Torata,"2,172",731,686,"1,417",377,378,755
,El Oro,Santa Rosa,Torata,Rural,"2,172",731,686,"1,417",377,378,755
,El Oro,Santa Rosa,Victoria,Total Victoria,"3,701",912,856,"1,768","1,010",923,"1,933"
,El Oro,Santa Rosa,Victoria,Rural,"3,701",912,856,"1,768","1,010",923,"1,933"
,El Oro,Santa Rosa,Bellamaría,Total Bellamaría,"2,732",625,579,"1,204",781,747,"1,528"
,El Oro,Santa Rosa,Bellamaría,Rural,"2,732",625,579,"1,204",781,747,"1,528"
,El Oro,Zaruma,Total Zaruma,Total Zaruma,"24,310","6,935","6,908","13,843","5,112","5,355","10,467"
,El Oro,Zaruma,Total Zaruma,Urbana,"9,974","4,331","4,434","8,765",592,617,"1,209"
,El Oro,Zaruma,Total Zaruma,Rural,"14,336","2,604","2,474","5,078","4,520","4,738","9,258"
,El Oro,Zaruma,Zaruma,Total Zaruma,"11,530","4,704","4,784","9,488","1,008","1,034","2,042"
,El Oro,Zaruma,Zaruma,Urbana,"9,974","4,331","4,434","8,765",592,617,"1,209"
,El Oro,Zaruma,Zaruma,Rural,"1,556",373,350,723,416,417,833
,El Oro,Zaruma,Abañín,Total Abañín,"1,333",21,19,40,578,715,"1,293"
,El Oro,Zaruma,Abañín,Rural,"1,333",21,19,40,578,715,"1,293"
,El Oro,Zaruma,Arcapamba,Total Arcapamba,970,336,303,639,167,164,331
,El Oro,Zaruma,Arcapamba,Rural,970,336,303,639,167,164,331
,El Oro,Zaruma,Guanazán,Total Guanazán,"2,195",102,90,192,899,"1,104","2,003"
,El Oro,Zaruma,Guanazán,Rural,"2,195",102,90,192,899,"1,104","2,003"
,El Oro,Zaruma,Guizhaguiña,Total Guizhaguiña,"1,832",234,270,504,680,648,"1,328"
,El Oro,Zaruma,Guizhaguiña,Rural,"1,832",234,270,504,680,648,"1,328"
,El Oro,Zaruma,Huertas,Total Huertas,"2,308",620,602,"1,222",554,532,"1,086"
,El Oro,Zaruma,Huertas,Rural,"2,308",620,602,"1,222",554,532,"1,086"
,El Oro,Zaruma,Malvas,Total Malvas,963,291,249,540,232,191,423
,El Oro,Zaruma,Malvas,Rural,963,291,249,540,232,191,423
,El Oro,Zaruma,Muluncay Grande,Total Muluncay Grande,817,299,274,573,138,106,244
,El Oro,Zaruma,Muluncay Grande,Rural,817,299,274,573,138,106,244
,El Oro,Zaruma,Sinsao,Total Sinsao,"1,594",265,255,520,545,529,"1,074"
,El Oro,Zaruma,Sinsao,Rural,"1,594",265,255,520,545,529,"1,074"
,El Oro,Zaruma,Salvias,Total Salvias,768,63,62,125,311,332,643
,El Oro,Zaruma,Salvias,Rural,768,63,62,125,311,332,643
,El Oro,Las Lajas,Total Las Lajas,Total Las Lajas,"5,726","1,818","1,786","3,604","1,097","1,025","2,122"
,El Oro,Las Lajas,Total Las Lajas,Urbana,"1,570",622,663,"1,285",145,140,285
,El Oro,Las Lajas,Total Las Lajas,Rural,"4,156","1,196","1,123","2,319",952,885,"1,837"
,El Oro,Las Lajas,La Victoria,Total La Victoria,"3,275","1,147","1,175","2,322",475,478,953
,El Oro,Las Lajas,La Victoria,Urbana,"1,570",622,663,"1,285",145,140,285
,El Oro,Las Lajas,La Victoria,Rural,"1,705",525,512,"1,037",330,338,668
,El Oro,Las Lajas,La Libertad,Total La Libertad,871,171,156,327,290,254,544
,El Oro,Las Lajas,La Libertad,Rural,871,171,156,327,290,254,544
,El Oro,Las Lajas,El Paraíso,Total El Paraíso,880,322,283,605,148,127,275
,El Oro,Las Lajas,El Paraíso,Rural,880,322,283,605,148,127,275
,El Oro,Las Lajas,San Isidro,Total San Isidro,700,178,172,350,184,166,350
,El Oro,Las Lajas,San Isidro,Rural,700,178,172,350,184,166,350
,Esmeraldas,Total Esmeraldas,Total Esmeraldas,Total Esmeraldas,"550,425","95,950","107,866","203,816","170,413","176,196","346,609"
,Esmeraldas,Total Esmeraldas,Total Esmeraldas,Urbana,"247,531","69,885","79,605","149,490","45,938","52,103","98,041"
,Esmeraldas,Total Esmeraldas,Total Esmeraldas,Rural,"302,894","26,065","28,261","54,326","124,475","124,093","248,568"
,Esmeraldas,Esmeraldas,Total Esmeraldas,Total Esmeraldas,"209,905","60,096","69,113","129,209","38,302","42,394","80,696"
,Esmeraldas,Esmeraldas,Total Esmeraldas,Urbana,"155,153","51,597","59,441","111,038","20,377","23,738","44,115"
,Esmeraldas,Esmeraldas,Total Esmeraldas,Rural,"54,752","8,499","9,672","18,171","17,925","18,656","36,581"
,Esmeraldas,Esmeraldas,Esmeraldas,Total Esmeraldas,"168,676","55,613","64,051","119,664","22,624","26,388","49,012"
,Esmeraldas,Esmeraldas,Esmeraldas,Urbana,"155,153","51,597","59,441","111,038","20,377","23,738","44,115"
,Esmeraldas,Esmeraldas,Esmeraldas,Rural,"13,523","4,016","4,610","8,626","2,247","2,650","4,897"
,Esmeraldas,Esmeraldas,Camarones,Total Camarones,"3,947",272,305,577,"1,679","1,691","3,370"
,Esmeraldas,Esmeraldas,Camarones,Rural,"3,947",272,305,577,"1,679","1,691","3,370"
,Esmeraldas,Esmeraldas,Coronel Carlos Concha Torres,Total Coronel Carlos Concha Torres,"2,760",47,59,106,"1,387","1,267","2,654"
,Esmeraldas,Esmeraldas,Coronel Carlos Concha Torres,Rural,"2,760",47,59,106,"1,387","1,267","2,654"
,Esmeraldas,Esmeraldas,Chinca,Total Chinca,"5,103",4,9,13,"2,514","2,576","5,090"
