,,,,,,,,,,,
,,,,,,,,,,,
,Tabla N°:,1.2 ,,,,,,,,,
,Nombre de la tabla:,"Población en viviendas particulares por condición de pobreza por NBI y sexo al nacer, según provincia, cantón, parroquia y área de residencia",,,,,,,,,
,Fuente:,VIII Censo de Población y VII de Vivienda ,,,,,,,,,
,Elaboración:,Instituto Nacional de Estadística y Censos (INEC) - Componente de Metodología y Análisis – CPV 2022 ,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Índice,"Provincia, cantón, parroquia y área de residencia",,,Número total de personas en viviendas particulares,Número total de personas en viviendas particulares,Condición de Pobreza por Necesidades Básicas Insatisfechas NBI,,,,,
,,,,,,No pobres,,"Total
No pobres",Pobres,,"Total
Pobres"
,,,,,,Sexo al nacer,,,Sexo al nacer,,
,,,,,,Hombres,Mujeres,,Hombres,Mujeres,
,,,,,,,,,,,
,Azuay,Cuenca,Victoria del Portete,Total Victoria del Portete,"6,654","1,112","1,345","2,457","1,904","2,293","4,197"
,Azuay,Cuenca,Victoria del Portete,Rural,"6,654","1,112","1,345","2,457","1,904","2,293","4,197"
,Azuay,Girón,Total Girón,Total Girón,"12,173","3,718","4,424","8,142","1,808","2,223","4,031"
,Azuay,Girón,Total Girón,Urbana,"4,346","1,620","1,969","3,589",328,429,757
,Azuay,Girón,Total Girón,Rural,"7,827","2,098","2,455","4,553","1,480","1,794","3,274"
,Azuay,Girón,Girón,Total Girón,"8,434","2,471","2,986","5,457","1,339","1,638","2,977"
,Azuay,Girón,Girón,Urbana,"4,346","1,620","1,969","3,589",328,429,757
,Azuay,Girón,Girón,Rural,"4,088",851,"1,017","1,868","1,011","1,209","2,220"
,Azuay,Girón,La Asunción,Total La Asunción,"2,681",929,"1,040","1,969",324,388,712
,Azuay,Girón,La Asunción,Rural,"2,681",929,"1,040","1,969",324,388,712
,Azuay,Girón,San Gerardo,Total San Gerardo,"1,058",318,398,716,145,197,342
,Azuay,Girón,San Gerardo,Rural,"1,058",318,398,716,145,197,342
,Azuay,Gualaceo,Total Gualaceo,Total Gualaceo,"43,168","11,282","13,505","24,787","8,129","10,252","18,381"
