id,ocid,year,region,amount,buyer,title,description
2318213,ocds-5wno2w-SIE-RE-HGNGC-086-23-818925,2023,GUAYAS,,HOSPITAL GENERAL DEL NORTE DE GUAYAQUIL LOS CEIBOS,,
2318065,ocds-5wno2w-SIE-RE-HEJCA-F138-23-87497,2023,AZUAY,,HOSPITAL DE ESPECIALIDADES JOSÉ CARRASCO ARTEAGA,,
2327803,ocds-5wno2w-SIE-HGISD-033-2023-519694,2023,SANTO DOMINGO DE LOS TSACHILAS,,HOSPITAL GENERAL IESS SANTO DOMINGO,,
2341219,ocds-5wno2w-SIE-RE-HG-IB-2023-52-3260,2023,IMBABURA,,HOSPITAL GENERAL IBARRA,,
2362063,ocds-5wno2w-SIE-CCQAHDCL-2023-011-2708,2023,LOJA,0.000000,CENTRO CLINICO QUIRURGICO AMBULATORIO HOSPITAL DEL DIA CENTRAL LOJA,SIE-CCQAHDCL-2023-011-2708,ADQUISICIÓN DE INSULINA INTERMEDIA NPH 100 UI / ML LÍQUIDO PARENTERAL PARA EL CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO HOSPITAL DEL DÍA CENTRAL LOJA
2382697,ocds-5wno2w-SIE--2023-00055-49178,2023,PICHINCHA,0.000000,DIRECCION DISTRITAL 17D03,SIE--2023-00055-49178,ADQUISICION PARA EL ANO FISCAL 2023 DEL MEDICAMENTO INSULINA HUMANA NPH ACCION INTERMEDIA LIQUIDO PARENTERAL 100 UI ML CAJA POR VIALES POR 10 ML
2378490,ocds-5wno2w-SIE-IESS-CECP-2023-6-600753,2023,PICHINCHA,0.000000,CENTRO DE ESPECIALIDADES COMITE DEL PUEBLO,SIE-IESS-CECP-2023-6-600753,ADQUISICIÓN DEL MEDICAMENTO INSULINA HUMANA (ACCION RAPIDA) LIQUIDO PARENTERAL 100 UI/ML PARA LA FARMACIA DEL CENTRO DE ESPECIALIDADES COMITÉ DEL PUEBLO
2382967,ocds-5wno2w-SIE-HG-IB-2023-061-3260,2023,IMBABURA,0.000000,HOSPITAL GENERAL IBARRA,SIE-HG-IB-2023-061-3260,"ADQUISICIÓN DE INSULINA HUMANA NPH (ACCION INTERMEDIA) LIQUIDO PARENTERAL 100 UI/ML, POR SUBASTA INVERSA INSTITUCIONAL, GRUPO A TRACTO ALIMENTARIO Y METABOLISMO-HG-IB."
2395159,ocds-5wno2w-SIE-CZ6S-2023-023-443199,2023,AZUAY,0.000000,COORDINACION ZONAL 6 - SALUD,SIE-CZ6S-2023-023-443199,"INSULINA HUMANA NPH ACCIÓN INTERMEDIA LIQUIDO PARENTERAL 100 UIML, LIQUIDO PARENTERAL 100 UI ML CAJA X VIALES X 10 ML"
2427460,ocds-5wno2w-SIE-DD14D01S-2023-00036-334440,2023,MORONA SANTIAGO,0.000000,DIRECCION DISTRITAL 14D01-MORONA-SALUD,SIE-DD14D01S-2023-00036-334440,ADQUISICIÓN MEDICAMENTOS GRUPO ANATÓMICO: TRACTO ALIMENTARIO Y METABÓLICO (INSULINA) PARA LA DIRECCION DISTRITAL 14D01 MORONA SALUD
