anio,muertes_diabetes,insulina_usd
2013,4695,0.0
2014,4700,0.0
2015,4800,2958457.0
2016,4850,2766116.0
2017,4895,3169369.0
2018,4900,2676798.0
2019,4940,3392688.0
2020,6129,2188738.0
2021,4089,3776766.0
2022,3743,3577961.0
2023,3290,7782051.0
2024,3517,4797459.0
