,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Tabla.N°:,1.2 ,,,,,,,,,,,
,Nombre de la tabla:,"Población por autoidentificación según cultura y costumbres, según provincia, cantón, parroquia de residencia y sexo al nacer ",,,,,,,,,,,
,Fuente:,VIII Censo de Población y VII de Vivienda ,,,,,,,,,,,
,Elaboración:,Instituto Nacional de Estadística y Censos (INEC) - Componente de Metodología y Análisis – CPV 2022 ,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Índice,"Provincia, cantón, parroquia de residencia y sexo al nacer",,,,Número total de personas ,Autoidentificación según cultura y costumbres,,,,,,,
,,,,,,Indigena,Afroecuatoriano/a o Afrodescendiente,Negra/o,Mulata/o,Montubia/o,Mestiza/o,Blanca/o,Otro
,,,,,,,,,,,,,
,El Oro,Piñas,Saracay,Mujeres,"1,357",3,,,1,16,"1,303",34,
,El Oro,Portovelo,Total Portovelo,Total Portovelo,"13,556",48,44,39,84,736,"12,406",198,1
,El Oro,Portovelo,Total Portovelo,Hombres,"6,824",22,21,26,39,375,"6,245",95,1
,El Oro,Portovelo,Total Portovelo,Mujeres,"6,732",26,23,13,45,361,"6,161",103,
,El Oro,Portovelo,Portovelo,Total Portovelo,"11,389",48,36,34,66,250,"10,758",196,1
,El Oro,Portovelo,Portovelo,Hombres,"5,693",22,17,22,31,128,"5,378",94,1
,El Oro,Portovelo,Portovelo,Mujeres,"5,696",26,19,12,35,122,"5,380",102,
,El Oro,Portovelo,Curtincapa,Total Curtincapa,538,,2,3,1,68,464,,
,El Oro,Portovelo,Curtincapa,Hombres,288,,1,3,1,35,248,,
,El Oro,Portovelo,Curtincapa,Mujeres,250,,1,,,33,216,,
,El Oro,Portovelo,Morales,Total Morales,692,,3,2,13,354,319,1,
,El Oro,Portovelo,Morales,Hombres,342,,1,1,5,173,162,,
,El Oro,Portovelo,Morales,Mujeres,350,,2,1,8,181,157,1,
,El Oro,Portovelo,Salatí,Total Salatí,937,,3,,4,64,865,1,
,El Oro,Portovelo,Salatí,Hombres,501,,2,,2,39,457,1,
,El Oro,Portovelo,Salatí,Mujeres,436,,1,,2,25,408,,
,El Oro,Santa Rosa,Total Santa Rosa,Total Santa Rosa,"80,299",386,975,477,646,677,"75,449","1,495",194
,El Oro,Santa Rosa,Total Santa Rosa,Hombres,"39,522",200,489,255,324,355,"37,040",742,117
,El Oro,Santa Rosa,Total Santa Rosa,Mujeres,"40,777",186,486,222,322,322,"38,409",753,77
,El Oro,Santa Rosa,Santa Rosa,Total Santa Rosa,"61,493",338,796,298,467,500,"58,003","1,080",11
,El Oro,Santa Rosa,Santa Rosa,Hombres,"29,870",171,390,151,231,268,"28,126",524,9
,El Oro,Santa Rosa,Santa Rosa,Mujeres,"31,623",167,406,147,236,232,"29,877",556,2
,El Oro,Santa Rosa,Bellavista,Total Bellavista,"5,047",10,51,46,38,67,"4,730",105,
,El Oro,Santa Rosa,Bellavista,Hombres,"2,530",6,32,33,14,28,"2,361",56,
,El Oro,Santa Rosa,Bellavista,Mujeres,"2,517",4,19,13,24,39,"2,369",49,
,El Oro,Santa Rosa,Jambelí,Total Jambelí,"1,246",7,14,45,43,17,929,8,183
,El Oro,Santa Rosa,Jambelí,Hombres,691,4,9,23,23,14,506,4,108
,El Oro,Santa Rosa,Jambelí,Mujeres,555,3,5,22,20,3,423,4,75
,El Oro,Santa Rosa,La Avanzada,Total La Avanzada,"2,435",10,25,6,20,38,"2,276",60,
,El Oro,Santa Rosa,La Avanzada,Hombres,"1,241",6,14,5,15,17,"1,155",29,
,El Oro,Santa Rosa,La Avanzada,Mujeres,"1,194",4,11,1,5,21,"1,121",31,
,El Oro,Santa Rosa,San Antonio,Total San Antonio,"1,446",,15,18,4,10,"1,368",31,
,El Oro,Santa Rosa,San Antonio,Hombres,731,,9,11,1,6,685,19,
,El Oro,Santa Rosa,San Antonio,Mujeres,715,,6,7,3,4,683,12,
,El Oro,Santa Rosa,Torata,Total Torata,"2,174",11,6,2,1,8,"2,064",82,
,El Oro,Santa Rosa,Torata,Hombres,"1,109",7,1,2,,3,"1,052",44,
,El Oro,Santa Rosa,Torata,Mujeres,"1,065",4,5,,1,5,"1,012",38,
,El Oro,Santa Rosa,Victoria,Total Victoria,"3,726",9,54,50,52,9,"3,467",85,
,El Oro,Santa Rosa,Victoria,Hombres,"1,944",6,28,26,27,4,"1,814",39,
,El Oro,Santa Rosa,Victoria,Mujeres,"1,782",3,26,24,25,5,"1,653",46,
,El Oro,Santa Rosa,Bellamaría,Total Bellamaría,"2,732",1,14,12,21,28,"2,612",44,
,El Oro,Santa Rosa,Bellamaría,Hombres,"1,406",,6,4,13,15,"1,341",27,
,El Oro,Santa Rosa,Bellamaría,Mujeres,"1,326",1,8,8,8,13,"1,271",17,
,El Oro,Zaruma,Total Zaruma,Total Zaruma,"24,374",61,44,26,41,244,"23,609",349,
,El Oro,Zaruma,Total Zaruma,Hombres,"12,076",30,16,15,18,118,"11,717",162,
,El Oro,Zaruma,Total Zaruma,Mujeres,"12,298",31,28,11,23,126,"11,892",187,
,El Oro,Zaruma,Zaruma,Total Zaruma,"11,592",38,18,20,33,53,"11,271",159,
,El Oro,Zaruma,Zaruma,Hombres,"5,740",20,5,11,13,20,"5,597",74,
,El Oro,Zaruma,Zaruma,Mujeres,"5,852",18,13,9,20,33,"5,674",85,
,El Oro,Zaruma,Abañín,Total Abañín,"1,333",,4,,1,3,"1,308",17,
,El Oro,Zaruma,Abañín,Hombres,599,,1,,1,2,595,,
,El Oro,Zaruma,Abañín,Mujeres,734,,3,,,1,713,17,
,El Oro,Zaruma,Arcapamba,Total Arcapamba,970,,,,1,3,951,15,
,El Oro,Zaruma,Arcapamba,Hombres,503,,,,,1,492,10,
,El Oro,Zaruma,Arcapamba,Mujeres,467,,,,1,2,459,5,
,El Oro,Zaruma,Guanazán,Total Guanazán,"2,195",5,2,,,14,"2,165",9,
,El Oro,Zaruma,Guanazán,Hombres,"1,001",3,1,,,6,986,5,
,El Oro,Zaruma,Guanazán,Mujeres,"1,194",2,1,,,8,"1,179",4,
,El Oro,Zaruma,Guizhaguiña,Total Guizhaguiña,"1,832",4,1,,,137,"1,681",9,
,El Oro,Zaruma,Guizhaguiña,Hombres,914,1,,,,68,841,4,
,El Oro,Zaruma,Guizhaguiña,Mujeres,918,3,1,,,69,840,5,
,El Oro,Zaruma,Huertas,Total Huertas,"2,310",5,14,4,,10,"2,219",58,
,El Oro,Zaruma,Huertas,Hombres,"1,175",3,5,3,,3,"1,127",34,
,El Oro,Zaruma,Huertas,Mujeres,"1,135",2,9,1,,7,"1,092",24,
,El Oro,Zaruma,Malvas,Total Malvas,963,2,2,,5,6,937,11,
,El Oro,Zaruma,Malvas,Hombres,523,,1,,3,5,508,6,
,El Oro,Zaruma,Malvas,Mujeres,440,2,1,,2,1,429,5,
,El Oro,Zaruma,Muluncay Grande,Total Muluncay Grande,817,,3,1,,7,793,13,
,El Oro,Zaruma,Muluncay Grande,Hombres,437,,3,1,,6,421,6,
,El Oro,Zaruma,Muluncay Grande,Mujeres,380,,,,,1,372,7,
,El Oro,Zaruma,Sinsao,Total Sinsao,"1,594",,,1,1,7,"1,544",41,
,El Oro,Zaruma,Sinsao,Hombres,810,,,,1,5,788,16,
,El Oro,Zaruma,Sinsao,Mujeres,784,,,1,,2,756,25,
,El Oro,Zaruma,Salvias,Total Salvias,768,7,,,,4,740,17,
,El Oro,Zaruma,Salvias,Hombres,374,3,,,,2,362,7,
,El Oro,Zaruma,Salvias,Mujeres,394,4,,,,2,378,10,
,El Oro,Las Lajas,Total Las Lajas,Total Las Lajas,"5,738",20,2,5,9,45,"5,636",21,
,El Oro,Las Lajas,Total Las Lajas,Hombres,"2,920",9,,3,5,21,"2,874",8,
,El Oro,Las Lajas,Total Las Lajas,Mujeres,"2,818",11,2,2,4,24,"2,762",13,
,El Oro,Las Lajas,La Victoria,Total La Victoria,"3,287",11,1,5,7,30,"3,216",17,
,El Oro,Las Lajas,La Victoria,Hombres,"1,627",4,,3,4,14,"1,595",7,
,El Oro,Las Lajas,La Victoria,Mujeres,"1,660",7,1,2,3,16,"1,621",10,
,El Oro,Las Lajas,La Libertad,Total La Libertad,871,2,,,2,10,857,,
,El Oro,Las Lajas,La Libertad,Hombres,461,1,,,1,3,456,,
,El Oro,Las Lajas,La Libertad,Mujeres,410,1,,,1,7,401,,
,El Oro,Las Lajas,El Paraíso,Total El Paraíso,880,,1,,,4,874,1,
,El Oro,Las Lajas,El Paraíso,Hombres,470,,,,,3,467,,
,El Oro,Las Lajas,El Paraíso,Mujeres,410,,1,,,1,407,1,
,El Oro,Las Lajas,San Isidro,Total San Isidro,700,7,,,,1,689,3,
,El Oro,Las Lajas,San Isidro,Hombres,362,4,,,,1,356,1,
,El Oro,Las Lajas,San Isidro,Mujeres,338,3,,,,,333,2,
,Esmeraldas,Total Esmeraldas,Total Esmeraldas,Total Esmeraldas,"553,900","18,572","110,136","116,504","71,295","9,360","218,737","9,124",172
,Esmeraldas,Total Esmeraldas,Total Esmeraldas,Hombres,"268,848","9,678","51,657","55,966","34,044","5,144","107,537","4,706",116
,Esmeraldas,Total Esmeraldas,Total Esmeraldas,Mujeres,"285,052","8,894","58,479","60,538","37,251","4,216","111,200","4,418",56
,Esmeraldas,Esmeraldas,Total Esmeraldas,Total Esmeraldas,"211,848","1,287","56,234","51,604","33,183","1,650","64,011","3,762",117
,Esmeraldas,Esmeraldas,Total Esmeraldas,Hombres,"100,074",722,"25,894","24,346","15,572",926,"30,602","1,934",78
,Esmeraldas,Esmeraldas,Total Esmeraldas,Mujeres,"111,774",565,"30,340","27,258","17,611",724,"33,409","1,828",39
,Esmeraldas,Esmeraldas,Esmeraldas,Total Esmeraldas,"170,529","1,212","50,507","43,158","23,002","1,167","48,381","2,988",114
,Esmeraldas,Esmeraldas,Esmeraldas,Hombres,"79,874",686,"23,148","20,297","10,699",660,"22,795","1,513",76
,Esmeraldas,Esmeraldas,Esmeraldas,Mujeres,"90,655",526,"27,359","22,861","12,303",507,"25,586","1,475",38
,Esmeraldas,Esmeraldas,Camarones,Total Camarones,"3,949",1,696,"1,162",524,45,"1,467",53,1
,Esmeraldas,Esmeraldas,Camarones,Hombres,"1,953",1,342,562,248,27,744,28,1
,Esmeraldas,Esmeraldas,Camarones,Mujeres,"1,996",,354,600,276,18,723,25,
,Esmeraldas,Esmeraldas,Coronel Carlos Concha Torres,Total Coronel Carlos Concha Torres,"2,760",2,152,208,855,78,"1,378",87,
,Esmeraldas,Esmeraldas,Coronel Carlos Concha Torres,Hombres,"1,434",2,78,108,411,49,742,44,
,Esmeraldas,Esmeraldas,Coronel Carlos Concha Torres,Mujeres,"1,326",,74,100,444,29,636,43,
,Esmeraldas,Esmeraldas,Chinca,Total Chinca,"5,109",3,647,"1,489",859,70,"1,938",103,
,Esmeraldas,Esmeraldas,Chinca,Hombres,"2,520",,312,718,408,42,981,59,
,Esmeraldas,Esmeraldas,Chinca,Mujeres,"2,589",3,335,771,451,28,957,44,
,Esmeraldas,Esmeraldas,Majua,Total Majua,"3,368",3,174,530,420,42,"2,120",79,
,Esmeraldas,Esmeraldas,Majua,Hombres,"1,735",1,86,261,203,26,"1,108",50,
,Esmeraldas,Esmeraldas,Majua,Mujeres,"1,633",2,88,269,217,16,"1,012",29,
,Esmeraldas,Esmeraldas,San Mateo,Total San Mateo,"7,975",31,973,"1,167","2,220",68,"3,405",111,
,Esmeraldas,Esmeraldas,San Mateo,Hombres,"3,883",17,465,578,"1,043",33,"1,681",66,
,Esmeraldas,Esmeraldas,San Mateo,Mujeres,"4,092",14,508,589,"1,177",35,"1,724",45,
,Esmeraldas,Esmeraldas,Tabiazo,Total Tabiazo,"2,789",,80,171,"1,769",47,684,38,
,Esmeraldas,Esmeraldas,Tabiazo,Hombres,"1,398",,36,88,875,25,352,22,
,Esmeraldas,Esmeraldas,Tabiazo,Mujeres,"1,391",,44,83,894,22,332,16,
,Esmeraldas,Esmeraldas,Tachina,Total Tachina,"6,439",18,"1,260","1,489","1,622",62,"1,856",131,1
,Esmeraldas,Esmeraldas,Tachina,Hombres,"3,108",8,611,731,784,26,879,68,1
,Esmeraldas,Esmeraldas,Tachina,Mujeres,"3,331",10,649,758,838,36,977,63,
,Esmeraldas,Esmeraldas,Vuelta Larga,Total Vuelta Larga,"8,930",17,"1,745","2,230","1,912",71,"2,782",172,1
,Esmeraldas,Esmeraldas,Vuelta Larga,Hombres,"4,169",7,816,"1,003",901,38,"1,320",84,
,Esmeraldas,Esmeraldas,Vuelta Larga,Mujeres,"4,761",10,929,"1,227","1,011",33,"1,462",88,1
,Esmeraldas,Eloy Alfaro,Total Eloy Alfaro,Total Eloy Alfaro,"46,305","8,369","15,444","13,986","2,013","1,014","5,224",255,
,Esmeraldas,Eloy Alfaro,Total Eloy Alfaro,Hombres,"22,795","4,308","7,472","6,696",975,570,"2,642",132,
,Esmeraldas,Eloy Alfaro,Total Eloy Alfaro,Mujeres,"23,510","4,061","7,972","7,290","1,038",444,"2,582",123,
,Esmeraldas,Eloy Alfaro,Valdez,Total Valdez,"5,848",3,"2,796","2,679",300,11,57,2,
,Esmeraldas,Eloy Alfaro,Valdez,Hombres,"2,715",1,"1,299","1,237",142,6,30,,
,Esmeraldas,Eloy Alfaro,Valdez,Mujeres,"3,133",2,"1,497","1,442",158,5,27,2,
,Esmeraldas,Eloy Alfaro,Anchayacu,Total Anchayacu,"3,075",7,576,728,223,169,"1,333",39,
,Esmeraldas,Eloy Alfaro,Anchayacu,Hombres,"1,593",3,294,366,119,97,697,17,
,Esmeraldas,Eloy Alfaro,Anchayacu,Mujeres,"1,482",4,282,362,104,72,636,22,
,Esmeraldas,Eloy Alfaro,Atahualpa,Total Atahualpa,"1,388",793,407,166,12,8,1,1,
,Esmeraldas,Eloy Alfaro,Atahualpa,Hombres,689,402,200,79,3,5,,,
,Esmeraldas,Eloy Alfaro,Atahualpa,Mujeres,699,391,207,87,9,3,1,1,
,Esmeraldas,Eloy Alfaro,Borbón,Total Borbón,"9,079",659,"1,998","3,838",442,364,"1,654",124,
,Esmeraldas,Eloy Alfaro,Borbón,Hombres,"4,374",332,966,"1,792",205,201,811,67,
,Esmeraldas,Eloy Alfaro,Borbón,Mujeres,"4,705",327,"1,032","2,046",237,163,843,57,
,Esmeraldas,Eloy Alfaro,La Tola,Total La Tola,"2,949",2,"1,143",790,283,120,587,24,
,Esmeraldas,Eloy Alfaro,La Tola,Hombres,"1,461",2,562,397,125,67,297,11,
,Esmeraldas,Eloy Alfaro,La Tola,Mujeres,"1,488",,581,393,158,53,290,13,
,Esmeraldas,Eloy Alfaro,Luis Vargas Torres,Total Luis Vargas Torres,535,57,197,270,10,,1,,
,Esmeraldas,Eloy Alfaro,Luis Vargas Torres,Hombres,268,28,96,137,6,,1,,
,Esmeraldas,Eloy Alfaro,Luis Vargas Torres,Mujeres,267,29,101,133,4,,,,
,Esmeraldas,Eloy Alfaro,Maldonado,Total Maldonado,"2,100",4,"1,043",648,111,87,187,20,
,Esmeraldas,Eloy Alfaro,Maldonado,Hombres,990,2,475,303,60,45,98,7,
,Esmeraldas,Eloy Alfaro,Maldonado,Mujeres,"1,110",2,568,345,51,42,89,13,
,Esmeraldas,Eloy Alfaro,Pampanal de Bolívar,Total Pampanal de Bolívar,"1,363",2,629,688,29,3,12,,
,Esmeraldas,Eloy Alfaro,Pampanal de Bolívar,Hombres,667,1,310,330,16,1,9,,
,Esmeraldas,Eloy Alfaro,Pampanal de Bolívar,Mujeres,696,1,319,358,13,2,3,,
,Esmeraldas,Eloy Alfaro,San Francisco de Onzole,Total San Francisco de Onzole,"1,838",253,769,444,84,73,213,2,
,Esmeraldas,Eloy Alfaro,San Francisco de Onzole,Hombres,947,127,400,223,42,41,112,2,
,Esmeraldas,Eloy Alfaro,San Francisco de Onzole,Mujeres,891,126,369,221,42,32,101,,
,Esmeraldas,Eloy Alfaro,Santo Domingo de Onzole,Total Santo Domingo de Onzole,"3,577","1,172","1,391",360,46,41,552,15,
,Esmeraldas,Eloy Alfaro,Santo Domingo de Onzole,Hombres,"1,847",588,718,203,25,23,279,11,
,Esmeraldas,Eloy Alfaro,Santo Domingo de Onzole,Mujeres,"1,730",584,673,157,21,18,273,4,
,Esmeraldas,Eloy Alfaro,Selva Alegre,Total Selva Alegre,"1,466",,948,425,64,18,10,1,
,Esmeraldas,Eloy Alfaro,Selva Alegre,Hombres,696,,452,192,32,13,6,1,
,Esmeraldas,Eloy Alfaro,Selva Alegre,Mujeres,770,,496,233,32,5,4,,
,Esmeraldas,Eloy Alfaro,Telembí,Total Telembí,"6,316","4,664",951,671,17,6,7,,
,Esmeraldas,Eloy Alfaro,Telembí,Hombres,"3,245","2,431",450,342,13,5,4,,
,Esmeraldas,Eloy Alfaro,Telembí,Mujeres,"3,071","2,233",501,329,4,1,3,,
,Esmeraldas,Eloy Alfaro,Colón Eloy del María,Total Colón Eloy del María,"2,200",78,872,"1,043",106,31,68,2,
,Esmeraldas,Eloy Alfaro,Colón Eloy del María,Hombres,"1,064",48,406,516,43,13,36,2,
,Esmeraldas,Eloy Alfaro,Colón Eloy del María,Mujeres,"1,136",30,466,527,63,18,32,,
,Esmeraldas,Eloy Alfaro,San José de Cayapas,Total San José de Cayapas,"1,433",668,371,375,12,3,3,1,
,Esmeraldas,Eloy Alfaro,San José de Cayapas,Hombres,727,339,205,171,7,2,2,1,
,Esmeraldas,Eloy Alfaro,San José de Cayapas,Mujeres,706,329,166,204,5,1,1,,
,Esmeraldas,Eloy Alfaro,Timbiré,Total Timbiré,"1,153",,774,337,26,14,2,,
,Esmeraldas,Eloy Alfaro,Timbiré,Hombres,557,,370,168,7,12,,,
,Esmeraldas,Eloy Alfaro,Timbiré,Mujeres,596,,404,169,19,2,2,,
,Esmeraldas,Eloy Alfaro,Santa Lucía de las Peñas,Total Santa Lucía de las Peñas,"1,985",7,579,524,248,66,537,24,
,Esmeraldas,Eloy Alfaro,Santa Lucía de las Peñas,Hombres,955,4,269,240,130,39,260,13,
,Esmeraldas,Eloy Alfaro,Santa Lucía de las Peñas,Mujeres,"1,030",3,310,284,118,27,277,11,
,Esmeraldas,Muisne,Total Muisne,Total Muisne,"36,426",999,"1,777","3,897","8,470","1,180","19,455",643,5
,Esmeraldas,Muisne,Total Muisne,Hombres,"18,424",518,935,"1,977","4,253",659,"9,737",342,3
,Esmeraldas,Muisne,Total Muisne,Mujeres,"18,002",481,842,"1,920","4,217",521,"9,718",301,2
,Esmeraldas,Muisne,Muisne,Total Muisne,"8,788",35,478,"1,324","2,029",149,"4,601",169,3
,Esmeraldas,Muisne,Muisne,Hombres,"4,435",18,257,663,"1,050",86,"2,262",97,2
,Esmeraldas,Muisne,Muisne,Mujeres,"4,353",17,221,661,979,63,"2,339",72,1
,Esmeraldas,Muisne,Bolívar,Total Bolívar,"2,569",12,53,362,769,45,"1,275",52,1
,Esmeraldas,Muisne,Bolívar,Hombres,"1,292",7,29,188,375,31,632,30,
,Esmeraldas,Muisne,Bolívar,Mujeres,"1,277",5,24,174,394,14,643,22,1
,Esmeraldas,Muisne,Daule,Total Daule,"2,842",3,92,231,805,106,"1,576",29,
,Esmeraldas,Muisne,Daule,Hombres,"1,455",3,50,117,419,54,795,17,
,Esmeraldas,Muisne,Daule,Mujeres,"1,387",,42,114,386,52,781,12,
,Esmeraldas,Muisne,Galera,Total Galera,"1,659",6,57,139,129,46,"1,238",44,
,Esmeraldas,Muisne,Galera,Hombres,850,2,30,71,63,24,639,21,
,Esmeraldas,Muisne,Galera,Mujeres,809,4,27,68,66,22,599,23,
,Esmeraldas,Muisne,Quingue,Total Quingue,533,,30,51,163,11,274,4,
,Esmeraldas,Muisne,Quingue,Hombres,273,,14,27,84,4,144,,
,Esmeraldas,Muisne,Quingue,Mujeres,260,,16,24,79,7,130,4,
,Esmeraldas,Muisne,Sálima,Total Sálima,"1,439",,30,117,575,101,589,27,
,Esmeraldas,Muisne,Sálima,Hombres,727,,18,69,282,62,284,12,
,Esmeraldas,Muisne,Sálima,Mujeres,712,,12,48,293,39,305,15,
,Esmeraldas,Muisne,San Francisco,Total San Francisco,"5,023",16,163,411,"1,126",119,"3,081",107,
,Esmeraldas,Muisne,San Francisco,Hombres,"2,524",7,85,208,534,58,"1,576",56,
,Esmeraldas,Muisne,San Francisco,Mujeres,"2,499",9,78,203,592,61,"1,505",51,
,Esmeraldas,Muisne,San Gregorio,Total San Gregorio,"7,864",569,566,589,"1,379",376,"4,254",131,
,Esmeraldas,Muisne,San Gregorio,Hombres,"4,044",311,282,290,713,220,"2,157",71,
,Esmeraldas,Muisne,San Gregorio,Mujeres,"3,820",258,284,299,666,156,"2,097",60,
,Esmeraldas,Muisne,San José de Chamanga,Total San José de Chamanga,"5,709",358,308,673,"1,495",227,"2,567",80,1
,Esmeraldas,Muisne,San José de Chamanga,Hombres,"2,824",170,170,344,733,120,"1,248",38,1
,Esmeraldas,Muisne,San José de Chamanga,Mujeres,"2,885",188,138,329,762,107,"1,319",42,
,Esmeraldas,Quinindé,Total Quinindé,Total Quinindé,"126,841","4,838","7,263","11,584","9,433","3,628","87,783","2,293",19
,Esmeraldas,Quinindé,Total Quinindé,Hombres,"63,368","2,553","3,494","5,664","4,499","1,962","44,036","1,148",12
,Esmeraldas,Quinindé,Total Quinindé,Mujeres,"63,473","2,285","3,769","5,920","4,934","1,666","43,747","1,145",7
,Esmeraldas,Quinindé,Rosa Zárate,Total Rosa Zárate,"55,722",381,"4,896","6,628","4,631","1,794","36,180","1,198",14
,Esmeraldas,Quinindé,Rosa Zárate,Hombres,"27,254",204,"2,313","3,164","2,159",953,"17,875",578,8
,Esmeraldas,Quinindé,Rosa Zárate,Mujeres,"28,468",177,"2,583","3,464","2,472",841,"18,305",620,6
,Esmeraldas,Quinindé,Cube,Total Cube,"7,872",449,149,596,"1,425",228,"4,842",183,
,Esmeraldas,Quinindé,Cube,Hombres,"4,195",250,81,297,714,120,"2,628",105,
,Esmeraldas,Quinindé,Cube,Mujeres,"3,677",199,68,299,711,108,"2,214",78,
,Esmeraldas,Quinindé,Chura,Total Chura,"3,241",1,74,370,236,64,"2,429",67,
,Esmeraldas,Quinindé,Chura,Hombres,"1,680",,38,196,127,40,"1,240",39,
,Esmeraldas,Quinindé,Chura,Mujeres,"1,561",1,36,174,109,24,"1,189",28,
,Esmeraldas,Quinindé,Malimpia,Total Malimpia,"19,870","3,272",654,"1,224",594,465,"13,447",213,1
,Esmeraldas,Quinindé,Malimpia,Hombres,"10,346","1,710",334,609,287,265,"7,019",121,1
,Esmeraldas,Quinindé,Malimpia,Mujeres,"9,524","1,562",320,615,307,200,"6,428",92,
,Esmeraldas,Quinindé,Viche,Total Viche,"5,975",70,447,"1,213",876,88,"3,090",189,2
,Esmeraldas,Quinindé,Viche,Hombres,"2,856",36,224,602,423,44,"1,435",90,2
,Esmeraldas,Quinindé,Viche,Mujeres,"3,119",34,223,611,453,44,"1,655",99,
,Esmeraldas,Quinindé,La Unión,Total La Unión,"34,161",665,"1,043","1,553","1,671",989,"27,795",443,2
,Esmeraldas,Quinindé,La Unión,Hombres,"17,037",353,504,796,789,540,"13,839",215,1
,Esmeraldas,Quinindé,La Unión,Mujeres,"17,124",312,539,757,882,449,"13,956",228,1
,Esmeraldas,San Lorenzo,Total San Lorenzo,Total San Lorenzo,"48,391","2,456","18,718","18,293","3,607",309,"4,780",217,11
,Esmeraldas,San Lorenzo,Total San Lorenzo,Hombres,"23,071","1,268","8,674","8,724","1,766",178,"2,333",120,8
,Esmeraldas,San Lorenzo,Total San Lorenzo,Mujeres,"25,320","1,188","10,044","9,569","1,841",131,"2,447",97,3
,Esmeraldas,San Lorenzo,San Lorenzo,Total San Lorenzo,"32,591",498,"12,934","13,089","2,734",173,"2,990",162,11
,Esmeraldas,San Lorenzo,San Lorenzo,Hombres,"15,294",248,"5,917","6,144","1,321",102,"1,462",92,8
,Esmeraldas,San Lorenzo,San Lorenzo,Mujeres,"17,297",250,"7,017","6,945","1,413",71,"1,528",70,3
,Esmeraldas,San Lorenzo,Alto Tambo,Total Alto Tambo,"1,867",391,410,70,282,16,692,6,
,Esmeraldas,San Lorenzo,Alto Tambo,Hombres,922,210,190,31,137,11,340,3,
,Esmeraldas,San Lorenzo,Alto Tambo,Mujeres,945,181,220,39,145,5,352,3,
,Esmeraldas,San Lorenzo,Ancón,Total Ancón,"1,415",,"1,025",346,22,6,16,,
,Esmeraldas,San Lorenzo,Ancón,Hombres,685,,496,168,11,4,6,,
,Esmeraldas,San Lorenzo,Ancón,Mujeres,730,,529,178,11,2,10,,
,Esmeraldas,San Lorenzo,Calderón,Total Calderón,"1,176",14,392,455,77,8,221,9,
,Esmeraldas,San Lorenzo,Calderón,Hombres,571,7,179,229,38,3,110,5,
,Esmeraldas,San Lorenzo,Calderón,Mujeres,605,7,213,226,39,5,111,4,
,Esmeraldas,San Lorenzo,Carondelet,Total Carondelet,"1,117",1,255,751,37,3,65,5,
,Esmeraldas,San Lorenzo,Carondelet,Hombres,561,1,118,381,21,2,35,3,
,Esmeraldas,San Lorenzo,Carondelet,Mujeres,556,,137,370,16,1,30,2,
,Esmeraldas,San Lorenzo,5 de Junio,Total 5 de Junio,247,,204,43,,,,,
,Esmeraldas,San Lorenzo,5 de Junio,Hombres,118,,97,21,,,,,
,Esmeraldas,San Lorenzo,5 de Junio,Mujeres,129,,107,22,,,,,
,Esmeraldas,San Lorenzo,Concepción,Total Concepción,"1,980",,760,590,165,18,435,12,
,Esmeraldas,San Lorenzo,Concepción,Hombres,938,,356,282,86,9,198,7,
,Esmeraldas,San Lorenzo,Concepción,Mujeres,"1,042",,404,308,79,9,237,5,
,Esmeraldas,San Lorenzo,Mataje,Total Mataje,"1,053",577,131,107,34,18,185,1,
,Esmeraldas,San Lorenzo,Mataje,Hombres,553,301,69,59,18,11,94,1,
,Esmeraldas,San Lorenzo,Mataje,Mujeres,500,276,62,48,16,7,91,,
,Esmeraldas,San Lorenzo,San Javier de Cachaví,Total San Javier de Cachaví,786,,304,430,43,4,4,1,
,Esmeraldas,San Lorenzo,San Javier de Cachaví,Hombres,400,,154,222,18,4,1,1,
,Esmeraldas,San Lorenzo,San Javier de Cachaví,Mujeres,386,,150,208,25,,3,,
,Esmeraldas,San Lorenzo,Santa Rita,Total Santa Rita,"1,638",6,447,"1,066",86,1,29,3,
,Esmeraldas,San Lorenzo,Santa Rita,Hombres,799,2,211,519,52,,13,2,
,Esmeraldas,San Lorenzo,Santa Rita,Mujeres,839,4,236,547,34,1,16,1,
,Esmeraldas,San Lorenzo,Tambillo,Total Tambillo,"1,369",3,"1,130",222,11,,3,,
,Esmeraldas,San Lorenzo,Tambillo,Hombres,693,2,567,117,5,,2,,
,Esmeraldas,San Lorenzo,Tambillo,Mujeres,676,1,563,105,6,,1,,
,Esmeraldas,San Lorenzo,Tululbí,Total Tululbí,"2,641",954,593,775,100,62,139,18,
,Esmeraldas,San Lorenzo,Tululbí,Hombres,"1,279",490,260,368,51,32,72,6,
,Esmeraldas,San Lorenzo,Tululbí,Mujeres,"1,362",464,333,407,49,30,67,12,
,Esmeraldas,San Lorenzo,Urbina,Total Urbina,511,12,133,349,16,,1,,
,Esmeraldas,San Lorenzo,Urbina,Hombres,258,7,60,183,8,,,,
,Esmeraldas,San Lorenzo,Urbina,Mujeres,253,5,73,166,8,,1,,
,Esmeraldas,Atacames,Total Atacames,Total Atacames,"51,204",134,"4,140","5,344","11,038",883,"28,236","1,411",18
,Esmeraldas,Atacames,Total Atacames,Hombres,"24,835",63,"2,012","2,668","5,283",461,"13,607",728,13
