,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Tabla.N°:,1.2 ,,,,,,,,,,,
,Nombre de la tabla:,"Población por autoidentificación según cultura y costumbres, según provincia, cantón, parroquia de residencia y sexo al nacer ",,,,,,,,,,,
,Fuente:,VIII Censo de Población y VII de Vivienda ,,,,,,,,,,,
,Elaboración:,Instituto Nacional de Estadística y Censos (INEC) - Componente de Metodología y Análisis – CPV 2022 ,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Índice,"Provincia, cantón, parroquia de residencia y sexo al nacer",,,,Número total de personas ,Autoidentificación según cultura y costumbres,,,,,,,
,,,,,,Indigena,Afroecuatoriano/a o Afrodescendiente,Negra/o,Mulata/o,Montubia/o,Mestiza/o,Blanca/o,Otro
,,,,,,,,,,,,,
,Azuay,Cuenca,Sayausí,Mujeres,"5,544",21,18,5,9,20,"5,404",67,
,Azuay,Cuenca,Sidcay,Total Sidcay,"5,039",18,15,3,1,15,"4,918",69,
,Azuay,Cuenca,Sidcay,Hombres,"2,289",11,7,2,1,7,"2,233",28,
,Azuay,Cuenca,Sidcay,Mujeres,"2,750",7,8,1,,8,"2,685",41,
,Azuay,Cuenca,Sinincay,Total Sinincay,"26,725",210,36,44,36,88,"26,192",119,
,Azuay,Cuenca,Sinincay,Hombres,"12,469",105,18,23,16,52,"12,191",64,
,Azuay,Cuenca,Sinincay,Mujeres,"14,256",105,18,21,20,36,"14,001",55,
,Azuay,Cuenca,Tarqui,Total Tarqui,"14,144",662,3,,16,55,"13,343",59,6
,Azuay,Cuenca,Tarqui,Hombres,"6,551",311,3,,6,27,"6,172",28,4
,Azuay,Cuenca,Tarqui,Mujeres,"7,593",351,,,10,28,"7,171",31,2
,Azuay,Cuenca,Turi,Total Turi,"13,901",365,222,209,210,183,"12,532",165,15
,Azuay,Cuenca,Turi,Hombres,"7,040",273,193,180,159,147,"6,002",71,15
,Azuay,Cuenca,Turi,Mujeres,"6,861",92,29,29,51,36,"6,530",94,
,Azuay,Cuenca,Valle,Total Valle,"34,785",802,71,25,120,112,"33,246",406,3
,Azuay,Cuenca,Valle,Hombres,"16,279",365,38,17,60,52,"15,545",200,2
,Azuay,Cuenca,Valle,Mujeres,"18,506",437,33,8,60,60,"17,701",206,1
,Azuay,Cuenca,Victoria del Portete,Total Victoria del Portete,"6,654",381,1,1,30,42,"6,142",53,4
,Azuay,Cuenca,Victoria del Portete,Hombres,"3,016",174,1,,14,22,"2,779",24,2
,Azuay,Cuenca,Victoria del Portete,Mujeres,"3,638",207,,1,16,20,"3,363",29,2
,Azuay,Girón,Total Girón,Total Girón,"12,182",72,16,15,5,39,"11,815",220,
,Azuay,Girón,Total Girón,Hombres,"5,532",38,10,5,4,21,"5,345",109,
,Azuay,Girón,Total Girón,Mujeres,"6,650",34,6,10,1,18,"6,470",111,
,Azuay,Girón,Girón,Total Girón,"8,441",58,11,10,3,25,"8,216",118,
,Azuay,Girón,Girón,Hombres,"3,814",32,8,4,3,11,"3,699",57,
,Azuay,Girón,Girón,Mujeres,"4,627",26,3,6,,14,"4,517",61,
,Azuay,Girón,La Asunción,Total La Asunción,"2,683",14,5,5,2,11,"2,545",101,
,Azuay,Girón,La Asunción,Hombres,"1,255",6,2,1,1,7,"1,187",51,
,Azuay,Girón,La Asunción,Mujeres,"1,428",8,3,4,1,4,"1,358",50,
,Azuay,Girón,San Gerardo,Total San Gerardo,"1,058",,,,,3,"1,054",1,
,Azuay,Girón,San Gerardo,Hombres,463,,,,,3,459,1,
,Azuay,Girón,San Gerardo,Mujeres,595,,,,,,595,,
,Azuay,Gualaceo,Total Gualaceo,Total Gualaceo,"43,188",611,139,22,87,130,"41,610",587,2
,Azuay,Gualaceo,Total Gualaceo,Hombres,"19,421",269,52,12,42,66,"18,718",261,1
,Azuay,Gualaceo,Total Gualaceo,Mujeres,"23,767",342,87,10,45,64,"22,892",326,1
,Azuay,Gualaceo,Gualaceo,Total Gualaceo,"22,019",342,53,17,74,78,"21,115",339,1
,Azuay,Gualaceo,Gualaceo,Hombres,"10,057",158,21,9,36,40,"9,644",149,
,Azuay,Gualaceo,Gualaceo,Mujeres,"11,962",184,32,8,38,38,"11,471",190,1
,Azuay,Gualaceo,Daniel Córdova Toral,Total Daniel Córdova Toral,"1,552",10,67,,,3,"1,461",11,
,Azuay,Gualaceo,Daniel Córdova Toral,Hombres,686,2,24,,,2,651,7,
,Azuay,Gualaceo,Daniel Córdova Toral,Mujeres,866,8,43,,,1,810,4,
,Azuay,Gualaceo,Jadán,Total Jadán,"4,581",192,2,1,2,13,"4,298",73,
,Azuay,Gualaceo,Jadán,Hombres,"2,051",78,,,1,6,"1,931",35,
,Azuay,Gualaceo,Jadán,Mujeres,"2,530",114,2,1,1,7,"2,367",38,
,Azuay,Gualaceo,Mariano Moreno,Total Mariano Moreno,"2,513",,4,1,5,14,"2,483",6,
,Azuay,Gualaceo,Mariano Moreno,Hombres,"1,131",,1,1,1,5,"1,119",4,
,Azuay,Gualaceo,Mariano Moreno,Mujeres,"1,382",,3,,4,9,"1,364",2,
,Azuay,Gualaceo,Remigio Crespo Toral,Total Remigio Crespo Toral,"1,380",4,1,2,,2,"1,343",28,
,Azuay,Gualaceo,Remigio Crespo Toral,Hombres,593,2,1,1,,1,577,11,
,Azuay,Gualaceo,Remigio Crespo Toral,Mujeres,787,2,,1,,1,766,17,
,Azuay,Gualaceo,San Juan,Total San Juan,"4,696",36,,,,8,"4,627",25,
,Azuay,Gualaceo,San Juan,Hombres,"2,007",17,,,,5,"1,973",12,
,Azuay,Gualaceo,San Juan,Mujeres,"2,689",19,,,,3,"2,654",13,
,Azuay,Gualaceo,Zhidmad,Total Zhidmad,"3,045",15,10,,5,7,"2,986",22,
,Azuay,Gualaceo,Zhidmad,Hombres,"1,347",6,3,,3,5,"1,321",9,
,Azuay,Gualaceo,Zhidmad,Mujeres,"1,698",9,7,,2,2,"1,665",13,
,Azuay,Gualaceo,Luis Cordero Vega,Total Luis Cordero Vega,"2,670",12,2,1,1,5,"2,604",45,
,Azuay,Gualaceo,Luis Cordero Vega,Hombres,"1,237",6,2,1,1,2,"1,207",18,
,Azuay,Gualaceo,Luis Cordero Vega,Mujeres,"1,433",6,,,,3,"1,397",27,
,Azuay,Gualaceo,Simón Bolívar,Total Simón Bolívar,732,,,,,,693,38,1
,Azuay,Gualaceo,Simón Bolívar,Hombres,312,,,,,,295,16,1
,Azuay,Gualaceo,Simón Bolívar,Mujeres,420,,,,,,398,22,
,Azuay,Nabón,Total Nabón,Total Nabón,"14,776","5,634",6,1,5,37,"9,059",34,
,Azuay,Nabón,Total Nabón,Hombres,"6,729","2,533",2,,2,16,"4,158",18,
,Azuay,Nabón,Total Nabón,Mujeres,"8,047","3,101",4,1,3,21,"4,901",16,
,Azuay,Nabón,Nabón,Total Nabón,"9,097","5,602",5,,4,17,"3,457",12,
,Azuay,Nabón,Nabón,Hombres,"4,088","2,514",1,,2,5,"1,561",5,
,Azuay,Nabón,Nabón,Mujeres,"5,009","3,088",4,,2,12,"1,896",7,
,Azuay,Nabón,Cochapata,Total Cochapata,"2,981",5,1,1,1,4,"2,964",5,
,Azuay,Nabón,Cochapata,Hombres,"1,352",1,1,,,2,"1,345",3,
,Azuay,Nabón,Cochapata,Mujeres,"1,629",4,,1,1,2,"1,619",2,
,Azuay,Nabón,El Progreso,Total El Progreso,"1,388",,,,,4,"1,375",9,
,Azuay,Nabón,El Progreso,Hombres,673,,,,,3,666,4,
,Azuay,Nabón,El Progreso,Mujeres,715,,,,,1,709,5,
,Azuay,Nabón,Las Nieves,Total Las Nieves,"1,310",27,,,,12,"1,263",8,
,Azuay,Nabón,Las Nieves,Hombres,616,18,,,,6,586,6,
,Azuay,Nabón,Las Nieves,Mujeres,694,9,,,,6,677,2,
,Azuay,Paute,Total Paute,Total Paute,"26,782",266,71,6,69,88,"25,988",290,4
,Azuay,Paute,Total Paute,Hombres,"12,201",144,32,2,32,47,"11,812",129,3
,Azuay,Paute,Total Paute,Mujeres,"14,581",122,39,4,37,41,"14,176",161,1
,Azuay,Paute,Paute,Total Paute,"11,497",175,36,5,30,38,"11,076",135,2
,Azuay,Paute,Paute,Hombres,"5,261",94,18,2,14,21,"5,053",58,1
,Azuay,Paute,Paute,Mujeres,"6,236",81,18,3,16,17,"6,023",77,1
,Azuay,Paute,Bulán,Total Bulán,"1,911",5,,,,9,"1,860",37,
,Azuay,Paute,Bulán,Hombres,895,2,,,,2,880,11,
,Azuay,Paute,Bulán,Mujeres,"1,016",3,,,,7,980,26,
,Azuay,Paute,Chicán,Total Chicán,"3,394",8,6,,3,12,"3,345",18,2
,Azuay,Paute,Chicán,Hombres,"1,552",6,2,,1,9,"1,522",10,2
,Azuay,Paute,Chicán,Mujeres,"1,842",2,4,,2,3,"1,823",8,
,Azuay,Paute,El Cabo,Total El Cabo,"3,366",45,12,1,1,8,"3,280",19,
,Azuay,Paute,El Cabo,Hombres,"1,510",23,6,,,5,"1,467",9,
,Azuay,Paute,El Cabo,Mujeres,"1,856",22,6,1,1,3,"1,813",10,
,Azuay,Paute,Guarainag,Total Guarainag,701,8,,,5,3,680,5,
,Azuay,Paute,Guarainag,Hombres,328,5,,,2,,318,3,
,Azuay,Paute,Guarainag,Mujeres,373,3,,,3,3,362,2,
,Azuay,Paute,San Cristóbal,Total San Cristóbal,"2,819",21,17,,24,3,"2,695",59,
,Azuay,Paute,San Cristóbal,Hombres,"1,294",11,6,,13,1,"1,234",29,
,Azuay,Paute,San Cristóbal,Mujeres,"1,525",10,11,,11,2,"1,461",30,
,Azuay,Paute,Tomebamba,Total Tomebamba,"1,315",,,,,9,"1,303",3,
,Azuay,Paute,Tomebamba,Hombres,589,,,,,5,583,1,
,Azuay,Paute,Tomebamba,Mujeres,726,,,,,4,720,2,
,Azuay,Paute,Dug Dug,Total Dug Dug,"1,779",4,,,6,6,"1,749",14,
,Azuay,Paute,Dug Dug,Hombres,772,3,,,2,4,755,8,
,Azuay,Paute,Dug Dug,Mujeres,"1,007",1,,,4,2,994,6,
,Azuay,Pucará,Total Pucará,Total Pucará,"9,693",20,1,19,7,38,"9,482",126,
,Azuay,Pucará,Total Pucará,Hombres,"4,604",8,1,10,2,23,"4,497",63,
